genesymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0D04642g	49.8749999999999	208.18751	2.9397161626423	0.0643461123676153	0.107829771715005	-4.5005466470482
CAGL0L08844g	-102.0625	339.03126	-2.93121886598325	0.0647723423755576	0.108509947936942	-4.50076406633821
CAGL0F01221g	-104.5	315.87501	-2.92667343911109	0.065001815553083	0.108860183409779	-4.50088087861469
CAGL0J07854g	19.9374999999999	267.46876	2.92559775889888	0.0650562715363086	0.108917185302784	-4.50090857446197
CAGL0C01573g	533.75	2903.37501	2.92397293846642	0.0651386373922897	0.109020863461084	-4.5009504470524
CAGL0J10560g	-38.25	127.75001	-2.92299311858912	0.065188370661044	0.109069877385824	-4.50097571964192
CAGL0G01298g	-30.9375000000001	296.03126	-2.91725030830961	0.0654808324462535	0.109524854270403	-4.50112417872486
CAGL0J01463g	21.6875	43.21876	2.91470377670655	0.0656110513092133	0.109708259461863	-4.50119019302563
CAGL0G01903g	-127.625	158.93751	-2.9139384075177	0.0656502532435967	0.10972300683704	-4.50121005590379
CAGL0M10131g	51.1249999999998	305.06251	2.91339079135155	0.0656783201811444	0.10972300683704	-4.50122427390944
CAGL0J09922g	262.875	3422.43751	2.91332716007505	0.0656815824579434	0.10972300683704	-4.50122592633567
CAGL0K10736g	-40.2500000000001	188.50001	-2.90946300024507	0.0658800777225903	0.110020142320694	-4.50132640613599
CAGL0F03487g	62.2499999999999	240.87501	2.9081971648297	0.0659452669080387	0.110094539495298	-4.50135937835199
CAGL0I08503g	-136.125	232.68751	-2.90527746964191	0.0660959403409526	0.110311560005833	-4.50143553684043
CAGL0I08349g	77.5624999999999	410.90626	2.90477869294703	0.0661217237911697	0.110320073413231	-4.5014485620593
CAGL0I06380g	82.7499999999998	380.37501	2.90325555435125	0.0662005389393885	0.110417033990837	-4.50148836480081
CAGL0K06369g	-27.0000000000001	212.00001	-2.90256950624827	0.0662360775595938	0.110441774836784	-4.50150630594343
CAGL0D00946g	-59	114.25001	-2.90156704761228	0.0662880503645112	0.110493893951345	-4.50153253653651
CAGL0I04862g	-146.125	1569.81251	-2.89986921948148	0.0663761928278895	0.110592855792168	-4.50157700263329
CAGL0H05621g	-56.8125000000001	489.15626	-2.89962493220467	0.0663888871853247	0.110592855792168	-4.50158340468578
CAGL0F09119g	82.6249999999999	380.68751	2.89775728575724	0.0664860409773272	0.110720119442105	-4.50163238493389
CAGL0E02871g	-19.375	106.81251	-2.89301543471753	0.0667335199697748	0.111097564144438	-4.50175701939698
CAGL0H04499g	-39.25	143.00001	-2.88510574471847	0.0671489333872121	0.111754262304958	-4.50196580254727
CAGL0K04191g	-29.6875	85.78126	-2.88370148010533	0.0672230269124096	0.111842677963441	-4.50200298546426
CAGL0L03223g	-28.75	147.37501	-2.8823456699947	0.0672946621268007	0.111895622184805	-4.50203891868933
CAGL0F00979g	44.3125	102.40626	2.88230514762796	0.06729680464358	0.111895622184805	-4.50203999316335
CAGL0K04719g	-111.5	171.62501	-2.88051222505217	0.0673916874069972	0.112018467008078	-4.5020875628513
CAGL0M05511g	-95.0625000000002	499.15626	-2.87922871061221	0.0674597160196671	0.112088575395492	-4.50212165219205
CAGL0J11000g	57.3125	169.59376	2.87892372813388	0.0674758934373684	0.112088575395492	-4.50212975666211
CAGL0I06160g	-1037.5	6671.50001	-2.87653325890157	0.067602863268072	0.112219777142201	-4.50219333753359
CAGL0H01045g	46	132.06251	2.87646645903104	0.0676064156891704	0.112219777142201	-4.50219511572161
CAGL0F02431g	298.375	872.50001	2.8762488281681	0.06761799095145	0.112219777142201	-4.50220090952928
CAGL0M11440g	39.0625	71.09376	2.8749606299299	0.0676865585430154	0.112298632431864	-4.50223522154182
CAGL0I06809g	-76.75	99.87501	-2.87380390021945	0.0677482034435263	0.112365956830774	-4.50226605714288
CAGL0E03674g	-114.75	498.87501	-2.8711788800352	0.0678883610295208	0.112563418629613	-4.5023361228552
CAGL0A02926g	-121.5	950.43751	-2.87069329641026	0.067914328004361	0.112571480912138	-4.50234909737271
CAGL0E00363g	21.625	22.31251	2.86806580449854	0.0680550535909745	0.112757799483765	-4.50241937601908
CAGL0C03289g	165.25	211.75001	2.86723606566036	0.0680995701847527	0.112757799483765	-4.50244159522064
CAGL0B01188g	46.1875	612.34376	2.86705204711902	0.0681094480190155	0.112757799483765	-4.50244652465086
CAGL0G03267g	58.8749999999998	568.06251	2.86701770408165	0.068111291701667	0.112757799483765	-4.50244744468882
CAGL0D02310g	-135.75	553.75001	-2.8656877140693	0.0681827399420333	0.112841059525537	-4.50248309101577
CAGL0B02772g	-55.6250000000001	162.56251	-2.86284275607668	0.0683358924387528	0.113059444872304	-4.50255944863687
CAGL0E00671g	-124.875	688.87501	-2.86223439724549	0.0683686986920858	0.113078647697236	-4.50257579574595
CAGL0L00759g	-4036.625	3715.56251	-2.8532872698449	0.0688534903139126	0.113845169663487	-4.5028169873864
CAGL0H05797g	-24.7500000000001	635.87501	-2.8518275797433	0.0689329945145	0.113887092547819	-4.50285647494581
CAGL0K03751g	-25.2500000000001	222.75001	-2.85158630101302	0.0689461473054426	0.113887092547819	-4.50286300576132
CAGL0C02431g	26.6249999999999	270.50001	2.85136418741623	0.0689582581574601	0.113887092547819	-4.50286901876257
CAGL0D00330g	35.4375	165.84376	2.85116800746046	0.0689689572036983	0.113887092547819	-4.50287433044326
CAGL0K05445g	-49.5625000000001	301.46876	-2.85086289885853	0.0689856010539938	0.113887092547819	-4.50288259282198
CAGL0I02508g	78.6874999999999	280.59376	2.84990697240462	0.0690377803065639	0.113937970345053	-4.50290849042538
CAGL0C01991g	-29.25	94.81251	-2.84808974129872	0.0691371116390396	0.114066611037005	-4.50295776818039
CAGL0M04499g	24.6875	91.28126	2.84685096282046	0.0692049279282204	0.114143192816675	-4.50299139466262
CAGL0I07953g	-38.75	209.00001	-2.845660919735	0.0692701554903333	0.114215458851758	-4.50302372466976
CAGL0L03718g	-26.0000000000001	371.12501	-2.84108972416903	0.0695214319258773	0.114594350399453	-4.50314815207809
CAGL0K03685g	25.0625	204.40626	2.8388965131336	0.0696424009271754	0.114737197526892	-4.50320798723946
CAGL0H08085g	40.0624999999999	280.90626	2.83873871610845	0.0696511146591819	0.114737197526892	-4.50321229566824
