genesymbol	pre.1	pre.2	X20min.1	X20min.2
CAGL0I08723g	222.62501	201.75001	381.50001	367.75001
CAGL0G06468g	281.00001	270.25001	139.25001	153.00001
CAGL0H10120g	42.50001	61.25001	206.25001	194.75001
CAGL0I03762g	1650.75001	1684.50001	1211.25001	1128.00001
CAGL0K00759g	1420.50001	1309.25001	511.50001	607.50001
CAGL0H08173g	194.87501	114.87501	1034.75001	1190.62501
CAGL0M00352g	217.25001	207.50001	357.25001	378.87501
CAGL0D00220g	238.12501	278.50001	19.00001	23.75001
CAGL0J07678g	1423.50001	1427.87501	919.50001	1003.50001
CAGL0C04587g	299.25001	300.75001	610.25001	560.12501
CAGL0L05566g	707.25001	623.87501	160.75001	191.75001
CAGL0M12034g	28662.25001	28662.25001	39418.75001	41610.00001
CAGL0J11286g	384.75001	434.00001	51.25001	87.00001
CAGL0J04994g	164.25001	165.12501	311.25001	291.62501
CAGL0E01903g	395.50001	436.25001	168.50001	178.50001
CAGL0G07469g	1688.25001	1762.50001	966.12501	1072.62501
CAGL0D04070g	153.00001	143.75001	271.50001	260.00001
CAGL0G03113g	359.25001	402.50001	133.00001	131.00001
CAGL0M13233g	398.12501	378.75001	523.50001	527.25001
CAGL0I08415g	188.00001	188.00001	277.00001	283.00001
CAGL0L11176g	386.87501	425.50001	104.75001	137.25001
CAGL0K10780g	5741.50001	6206.50001	1104.50001	1804.62501
CAGL0G02475g	12588.00001	12588.00001	10848.75001	11145.00001
CAGL0I05148g	442.00001	597.00001	1453.25001	1549.50001
CAGL0K08382g	8392.50001	8689.50001	5556.00001	5979.75001
CAGL0L01089g	1628.75001	1557.25001	2286.75001	2190.75001
CAGL0A02618g	239.25001	220.50001	405.25001	386.37501
CAGL0C01375g	367.75001	398.75001	681.25001	642.50001
CAGL0A04433g	762.25001	760.87501	1333.75001	1237.00001
CAGL0M05159g	698.50001	650.00001	261.25001	313.00001
CAGL0B04345g	3476.75001	3461.25001	1738.50001	2035.00001
CAGL0G02695g	214.00001	178.75001	473.37501	443.00001
CAGL0M09757g	316.25001	330.50001	80.00001	116.50001
CAGL0L00737g	476.00001	427.75001	1033.37501	1141.50001
CAGL0E01287g	1166.75001	1129.00001	1558.00001	1631.37501
CAGL0M05885g	206.25001	196.50001	38.62501	60.25001
CAGL0L00363g	282.25001	284.87501	194.75001	197.62501
CAGL0K11858g	3324.00001	3324.00001	17225.25001	14829.00001
CAGL0M04059g	343.00001	317.25001	170.25001	167.00001
CAGL0J05654g	458.25001	469.50001	359.37501	354.25001
CAGL0J01023g	215.25001	192.75001	14.75001	34.50001
CAGL0D06160g	1044.00001	1031.75001	669.25001	730.00001
CAGL0J02552g	6.75001	5.75001	130.75001	115.50001
CAGL0I09504g	344.62501	375.25001	554.50001	544.75001
CAGL0E01573g	910.00001	1016.37501	197.25001	282.25001
CAGL0H05005g	324.00001	307.87501	435.25001	438.25001
CAGL0J09394g	534.75001	633.00001	1109.75001	1108.12501
CAGL0F07777g	97.50001	102.62501	404.50001	354.25001
CAGL0K09834g	757.37501	739.37501	549.75001	575.50001
CAGL0M06237g	1113.00001	1171.25001	1465.75001	1459.00001
CAGL0K10604g	73.00001	55.25001	199.00001	191.75001
CAGL0G02761g	458.25001	475.75001	128.75001	183.00001
