genes	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	no.pi.wt.sec.max
5210	CAGL0M13541g	0.883433450896957	1.94709927164865	2.56321833063341	2.60354450780256	2.74813620669172	2.73308219929139	2.58296634885648	2.52945825055434	2.43813438462273	2.73308219929139
1405	CAGL0F05071g	1.44840704106015	2.56978545481677	3.39508352225917	3.69505495310387	3.88599799881128	3.93381071668246	3.93294696033816	4.00480659509866	3.81342599264575	3.93381071668246
1651	CAGL0G01716g	-0.117440672268592	0.349625155780555	0.90186546226057	1.21566303640727	1.78297658223436	1.98935347881854	2.23482459162662	2.33944999884925	2.15365443806373	2.23482459162662
1823	CAGL0G05698g	0.881047622062764	2.64306681295683	3.80054210329137	3.74221480234636	3.60135157450279	3.31757919121462	3.35764238360726	3.39054226853294	2.98907155292982	3.74221480234636
2703	CAGL0I05390g	0.79186742658035	1.27571999969145	1.97195951451149	2.10852057306697	2.56893199222245	2.68433036088964	2.64635061311569	2.55844759481306	2.54416024840257	2.64635061311569
3954	CAGL0K11275g	1.18102180005751	2.25006561948443	2.97747789114278	3.1719219570088	3.5117577638838	3.56692518532519	3.50023951195376	3.55316907112541	3.2565655034015	3.55316907112541
525	CAGL0C02739g	2.33921751396321	4.02544399385278	4.81520939072708	4.89294285924126	5.09903259334289	5.068036684442	5.05684803846364	5.17423671600177	4.66410571860627	5.09903259334289
5071	CAGL0M10351g	2.05167244044423	2.56403258740488	2.5447068841487	2.56322318488123	2.51636941526562	2.5343918048457	2.38855121927354	2.33055659677494	2.35421381997852	2.56322318488123
3996	CAGL0K12254g	0.789686871872136	1.00330737332794	1.58089080456257	1.92031719096144	2.31247348422831	2.59970880761923	2.53520305255333	2.53505168241923	2.63944900098235	2.59970880761923
5176	CAGL0M12793g	0.994091443496345	2.19362643726286	3.61920328544502	4.18134227528092	4.50642496876569	4.72276347066852	4.83424159403862	5.18299030663066	4.83925720265663	4.83925720265663
683	CAGL0D00990g	2.63125318537436	3.73451164432571	4.03781907164113	4.34812957162148	4.39966756962022	4.49148318320338	4.37902599031184	4.59271109716968	4.24713456507084	4.49148318320338
584	CAGL0C04191g	1.36190069433591	2.85896340232509	3.65760519906471	3.72691204358699	3.96108246731641	3.81794272074844	3.90833189540419	4.07837416120744	3.62204080735911	3.96108246731641
71	CAGL0A01870g	1.06414496448447	1.78888529491945	3.21738433512252	3.47783388488003	3.78381659413547	3.78594024771855	3.71790339303163	3.84388362844786	3.63229470334171	3.78594024771855
1522	CAGL0F07799g	0.762475788093134	1.20623312392794	1.41696757382564	1.63641458838133	1.84234384792103	2.2624075715871	2.37610650978064	2.44811833468661	2.42262076731574	2.42262076731574
3688	CAGL0K05137g	0.463390430025818	1.70813138743398	2.16940915820381	2.15737239114976	2.42931123466612	2.42415461509233	2.61631087798962	2.6558334488161	2.38141245264415	2.61631087798962
2340	CAGL0H07469g	-0.0402399624157779	1.17721981584315	3.42899029753978	4.64801041068526	6.50445200128854	7.18913684847993	7.24581901116824	7.27629475083527	7.79163245547745	7.27629475083527
4228	CAGL0L04598g	2.79537549972369	4.23474785025184	4.86051737822581	4.9580347463654	4.86240563332163	4.47245840240551	4.63071659007795	4.7245941273572	3.94384924610648	4.86240563332163
2267	CAGL0H05907g	0.966987225747364	1.59040138888093	2.01676682586695	1.67284180420697	0.562635717698833	0.324147299283292	0.141741983385913	-0.101121201322615	-0.200364435670502	1.67284180420697
1140	CAGL0E05148g	1.71042566370905	3.25721912680732	3.74822656374971	3.5799212395059	3.64751425712109	3.54546225611748	3.46079561275604	3.58943051418485	3.20468983704348	3.64751425712109
2738	CAGL0I06138g	0.129762177165208	0.783006981012278	1.37336603355414	1.73983720996488	2.21277029425018	2.29608021584474	2.5921557134169	3.02416463104252	2.91426352401157	2.91426352401157
1159	CAGL0E05588g	1.69731885721787	2.08252925731395	2.59871351172761	2.59219286712291	2.91636287536941	2.93255063918513	2.92262229714704	2.98225502428422	2.91059009596835	2.93255063918513
3792	CAGL0K07590g	0.880485569091652	1.66297373820339	2.47328182337239	2.6438840565752	3.0757130726211	3.28899535439479	3.19946463728022	2.82922451663094	3.10000822964433	3.19946463728022
1121	CAGL0E04708g	0.847218119406274	1.59995402058509	2.27221603668792	2.47209756713403	2.6304109691701	2.82845803801036	2.68715828315121	2.87510916130068	2.6534635238543	2.82845803801036
1816	CAGL0G05544g	2.04648576567155	4.87534205247555	5.74513788754334	5.74290315172634	5.83206387342157	5.64198643035179	5.93441602050958	6.25897241381511	5.6593904550439	5.93441602050958
3820	CAGL0K08162g	0.436746122171876	1.34918855737857	2.21487242594103	2.23666864413	2.19571389899788	2.09772045110698	1.95825641353775	1.97281506105965	1.95374676827539	2.21487242594103
862	CAGL0D05082g	2.6436333691693	3.92581868838185	3.95314099440479	3.91202317975479	3.94833735269218	3.72177418037686	3.41823832035314	3.62295549299055	3.51515881626344	3.94833735269218
3196	CAGL0J06050g	0.678532147309239	1.6557323248274	2.33663241925064	2.42305763803135	2.82693508103266	2.73989062967807	3.14560732108738	3.20869755423856	2.99433835775981	3.14560732108738
643	CAGL0C05555g	0.664939850669509	1.4591635252593	1.85090761721938	2.05149598780348	2.26141674767495	2.26465978957717	2.53382209550451	2.55587275663427	2.46066261567849	2.53382209550451
598	CAGL0C04543g	1.78206154703425	2.86949819885722	3.69891469724079	3.90629223016615	4.18874500518663	4.25418794970874	4.31894736131917	4.34830359195788	3.86874610228835	4.31894736131917
2730	CAGL0I05962g	1.17957101070383	2.11567544972439	2.45859113395433	2.46876474258485	2.55350511476084	2.48560867243992	2.42589473431269	2.54726844834415	2.18774682506032	2.54726844834415
3787	CAGL0K07458g	1.6568576991448	2.52057690650264	3.08598842355596	3.38933848102919	3.76083330996781	3.94403938581346	3.82513099784006	3.66996811728457	3.75453821700049	3.82513099784006
480	CAGL0C01793g	0.727031053940153	2.04957809163906	3.02349655637148	3.20949863352945	3.51439142921268	3.44666684559558	3.47043063223994	3.67205488310116	3.05915466704281	3.51439142921268
3508	CAGL0K01221g	0.72253280531637	1.1888247853668	1.67182234552645	1.70794291770441	1.96003682851258	1.88146703969176	2.11383477959747	2.21179935753837	1.91671243750709	2.11383477959747
3644	CAGL0K04235g	1.02290533065641	1.83431109153894	2.22449008488485	2.29418231389797	2.51904575311574	2.73571115674232	2.76186927415114	2.82761186942208	2.74842614185318	2.76186927415114
2134	CAGL0H02893g	2.18765492458487	3.13121485132195	3.43931122734393	3.41611849753754	3.48188433243123	3.38513794055214	3.27343454024481	3.28544773562962	3.0386779970125	3.43931122734393
