genes	pho80pho4vspho80	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	no.pi.wt.sec.max
25	CAGL0A00737g	2.1319354374596	-0.108469924325251	3.32951912311049	3.88936800974212	3.94975622080373	3.35577437736957	3.32727580808494	3.74213121645728	3.14945636456451	2.49253094230586	3.88936800974212
48	CAGL0A01243g	4.9352582489505	4.38118159721109	4.72526949006425	5.01935258850014	5.02893230668529	5.11098056593267	5.15333934850738	5.47479742787242	5.64597929404987	5.48377098957079	5.48377098957079
59	CAGL0A01606g	2.8281621048467	2.61263807434851	3.38852146168588	3.56809509465226	3.66947633793763	3.86715183962414	3.99941387294684	3.87329876798609	3.77439848390652	3.725860007546	3.87329876798609
61	CAGL0A01650g	1.95389365154459	2.95521859955112	3.97375527404536	4.40067883204941	4.47731200014013	4.74400179452099	4.94266804145011	4.92489143950062	5.03165797614894	4.95151298817578	4.95151298817578
299	CAGL0B02453g	1.72199551969383	1.40735148769037	1.3881800429493	1.24579902514927	0.956216508470732	1.3853963833775	1.51547012554378	1.81063031090569	2.04347677395584	2.06610562129168	2.04347677395584
300	CAGL0B02475g	9.16327836639324	8.68278491067688	8.86349249487911	9.25391418451794	9.29229185865452	9.59727915986048	9.5620182007917	10.1012360255994	10.2849799179917	10.148554306709	10.148554306709
320	CAGL0B02882g	5.17203298062151	3.39684634420482	5.27795704571161	5.53156299838273	5.6880789601098	5.88404360057222	5.59714428994185	5.85179632536089	5.90039395379294	5.58060918900134	5.88404360057222
322	CAGL0B02926g	7.16026608303269	8.34019684941164	9.83435513430675	9.77277794598638	9.56408687290531	8.54263295857424	9.01632592475262	9.55775563020297	10.1694662099345	10.2102018552961	10.1694662099345
324	CAGL0B02970g	1.78988737545326	2.8230642437921	3.51309667087178	3.15992976496861	3.21982206777814	2.79017573804126	2.26569730222226	2.31563566601268	2.67277691098173	2.67527243848365	3.21982206777814
505	CAGL0C02321g	1.5897446496822	2.58098088775498	3.3622576076275	3.67426155811706	3.78447902192238	3.96038055048365	3.94726981873482	4.0060552312312	4.05906712294601	3.93368837652402	4.0060552312312
619	CAGL0C05027g	2.88649338298842	3.22727002178579	5.63735927627282	6.19962768682766	6.41903899297325	6.48384511743973	6.24638077503068	6.48767078017183	6.74035955885108	6.29534493517927	6.48767078017183
823	CAGL0D04092g	1.63357632577887	1.21216513583768	1.87327880038888	1.9444463312745	1.86137565159502	1.5374227648203	1.49078280187875	1.61841513819891	1.68688792506883	0.814440683159769	1.87327880038888
924	CAGL0D06600g	2.39101979504699	1.74510029147269	3.11761011710416	3.60273536956486	3.97416664892126	4.37018027704635	4.71335524146497	4.98007904305719	5.23558222895912	5.02646959472042	5.02646959472042
927	CAGL0D06688g	1.75840876892288	0.938756879399355	2.48346411166862	2.98699315851652	2.90661509531157	2.85431181966205	2.6731665882345	2.64785126933371	2.88605136266793	2.38293477767753	2.90661509531157
996	CAGL0E01793g	1.83086614756661	0.724611662787715	1.39634662472529	1.49300256630837	1.60749012948856	1.84007638951088	2.37875450551455	2.24046855061228	1.99567272086771	2.32256153187522	2.32256153187522
999	CAGL0E01859g	2.26079300246863	2.81472308947994	3.91771658390181	4.06985191285309	3.94875387645236	3.84844932589114	3.73553476138384	3.8429801226378	3.94958772753154	3.77300604388061	3.94958772753154
1000	CAGL0E01881g	1.88835122175414	2.51704641063331	3.6697168558968	4.05789781163229	4.05881457379119	4.22388138601561	4.30269578736872	4.58701439780366	4.81502040683357	4.53302072283931	4.58701439780366
1114	CAGL0E04554g	2.55113446360531	2.13849673220161	3.44225168151092	3.02075039616892	2.43414582798643	1.3100156076565	1.79516797434715	1.38403790009497	1.52898481108889	1.57568500454525	3.02075039616892
1176	CAGL0E05984g	4.32561761334149	1.97431917322156	6.34124743116762	9.58338616460622	10.2681477009141	10.8044269236356	10.9416769089763	11.3121174929829	11.8398611300503	11.2659033658748	11.3121174929829
1222	CAGL0F00605g	2.39609099390729	2.692956745305	4.42995354172911	4.66277279779455	4.29380234707911	3.98263479180594	3.62414590371639	3.42308387006361	3.69306996249693	2.8534457719644	4.42995354172911
1393	CAGL0F04807g	1.5808131620165	1.89017464246876	3.85158357761582	4.433924902365	4.44351028827023	4.62979144414103	4.26075476174311	4.54113099199904	4.90940573008593	4.20788449639103	4.62979144414103
1486	CAGL0F06941g	1.61428141840042	0.111258809389479	1.33187724410909	1.76919128629477	1.60589550332044	1.4428747924963	1.20392527533508	1.33655399586711	1.39071837888923	1.08956314811149	1.60589550332044
1509	CAGL0F07513g	1.74260074973751	2.74212762334133	4.2925499514393	4.92346093524697	4.9909209359775	5.12434368863607	4.81472537208856	5.21304717895943	5.40326175041159	4.89245565977797	5.21304717895943
1521	CAGL0F07777g	2.24571544519095	1.89810135305748	4.48733644831185	5.90881159526157	6.23609714928751	6.40205848812275	6.73177762321974	7.00925879249748	7.20253663852534	6.73320943285878	7.00925879249748
1644	CAGL0G01540g	4.42987274852012	4.16038876942475	4.27016889421976	4.11470878090372	4.15830345211154	3.97232690073881	4.40590012604897	4.59466253431116	4.80751738086775	4.66814774009952	4.66814774009952
1652	CAGL0G01738g	2.42648030097224	3.64634181203807	5.95918147046183	7.05043408035764	7.21445660169617	7.56671852268742	7.42479459704844	7.54547065879598	7.66095651085563	7.12590363619307	7.56671852268742
1697	CAGL0G02717g	3.70256228682325	3.34400674370392	4.72509170511121	4.94756294769426	4.91182975249405	4.76997204979066	5.02807569023778	5.24562132247188	5.36891022579448	5.26623206865058	5.26623206865058
1698	CAGL0G02739g	8.03907967641481	5.4394193795608	8.70226164592129	8.79171511015392	8.88729262232811	8.59572705407919	9.20832460120027	10.0782204898025	10.6973378240163	10.6898620390453	10.6898620390453
1703	CAGL0G02849g	1.56792705402089	2.80630063525916	4.72199599540223	5.37330883567032	5.36484429802525	5.36891006806733	5.08463936367899	5.16545723699811	5.37298102107999	4.63016862318936	5.37298102107999
1766	CAGL0G04433g	1.99038494448178	1.09852182538752	1.35930918172286	1.5523356233558	1.81630447538803	2.01426758121017	2.50548131350582	2.68144840847383	2.85118297721651	2.64294687048812	2.68144840847383
1840	CAGL0G06050g	9.24328738743593	9.39102055107613	9.40384564269913	9.76406561872485	9.64571523587175	10.0193429675735	10.0654056154484	10.5084598248322	10.8513463628498	10.7048224164464	10.7048224164464
1876	CAGL0G06952g	1.73633327971173	2.07909725160363	2.49566466470563	2.61080362529711	2.68444923971074	2.69104319635286	2.6372211279565	2.61204717220057	2.56357960792262	2.4803928779061	2.68444923971074
2041	CAGL0H00704g	1.50793816532394	2.54265527111723	3.0382641467618	2.97629108441835	3.23497932108017	3.43434573543234	3.45710010658419	3.54939745722731	3.66862163485365	3.51525052437558	3.54939745722731
2099	CAGL0H02101g	2.49248795729535	3.38715466414876	6.40680365375463	6.80815463185211	6.56452736139356	6.50276371659958	6.347589018458	6.27414766896494	6.48925975321646	5.85900516080657	6.56452736139356
2112	CAGL0H02387g	1.75330933851171	3.78516203060352	5.08380751717673	5.7497612929743	5.64594704657275	5.58770549425162	5.28900627426251	5.41163765015406	5.54863387575921	4.95133069920195	5.64594704657275
2371	CAGL0H08173g	2.44600177950632	2.89757088268978	3.33765031196067	3.64372939394908	3.75510114944694	3.52460648952322	3.69360192688483	3.75282941962774	3.9678840361912	3.9918558324365	3.9678840361912
2400	CAGL0H08844g	2.42050639729098	2.76778894678904	4.29706389932069	4.8852582842575	4.90279485466907	4.85414251630514	4.87087276612558	4.88313345840309	5.08124180247643	4.82165862677615	4.90279485466907
