genes	pho80pho4vspho80	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	no.pi.wt.sec.max
2419	CAGL0H09262g	1.52342432229306	2.34580469291986	3.14470303325537	3.14258785061333	3.13810427309331	2.66472698706204	2.46622181792152	1.72197149127141	2.24232892835918	1.64983532143563	3.14258785061333
2503	CAGL0I00726g	3.29852156402135	3.24078136113279	3.64124931467591	4.1591295819456	4.11653371467154	4.11119482861878	4.42550580097939	4.58472788396569	4.39201324663876	4.82538759072047	4.58472788396569
2664	CAGL0I04554g	2.18547838994834	2.01379266850218	2.15710285514015	2.42666979212871	2.61173314388889	2.57394901015245	3.03094342844992	3.15079317194159	3.35940112948097	3.34470648743001	3.34470648743001
2815	CAGL0I07865g	2.02478935301282	3.32540081174723	4.69810486097007	5.49528776797968	5.68788103510626	6.108967321432	6.14295774213672	6.2923964508758	6.19891641280739	5.90381281234118	6.19891641280739
3041	CAGL0J02508g	3.5710356389564	3.83295994324571	4.75642775469631	5.03708250954636	5.14970420728211	5.16121537820495	5.37497402935856	6.04877468998368	6.12248451905198	5.63349608403653	6.04877468998368
3043	CAGL0J02552g	3.80398439008467	4.3067984724666	5.28686226421773	5.55510326010418	5.78321884138482	5.6678006223508	6.00646820213002	6.37576384932467	6.54836363905677	6.17486589707026	6.37576384932467
3105	CAGL0J04004g	2.23345062732171	1.74361723809773	4.4517626122976	6.81821643309495	6.86647042775706	6.81964382515231	6.63125938806213	6.48157207641909	6.74886822561769	6.16222179286241	6.81964382515231
3114	CAGL0J04202g	2.71026102849898	4.89284837561499	7.23672942727235	8.12652719127892	8.04596025035463	8.07465710525279	8.08777546485381	8.16842205676149	8.5434424935342	7.93435797168419	8.16842205676149
3300	CAGL0J08294g	1.6827998353797	1.86715737403778	2.21638061944956	2.27165995620504	2.30833055289976	2.17566149769422	2.43963016909159	2.64667679409193	2.88898630239766	2.66092750057216	2.66092750057216
3301	CAGL0J08316g	1.74726323577077	1.79689012833905	2.47131299192327	2.29281851714982	2.32147264645984	2.19629935268612	1.51764511586397	1.45240917223093	1.19590562049778	1.15946731235318	2.32147264645984
3396	CAGL0J10494g	1.67310230178541	2.32752392388733	2.83652394624637	2.86147386511758	2.93901161733535	2.88196182340129	3.33138125512675	3.25273275255423	3.29406096623348	3.41346954751194	3.33138125512675
3591	CAGL0K03069g	1.97031580738667	1.19254527930927	1.70915064273747	1.95206320119464	2.15441850979168	2.14180819789092	2.51186957335617	2.57804826860804	2.67713733107962	2.57854183239451	2.57854183239451
3606	CAGL0K03421g	2.7393200018212	2.51207707242987	4.85408088456894	5.90148296322456	5.82449156421083	6.18998890333181	5.91000936517237	5.9913906273138	5.96109553296588	5.38781985107228	5.9913906273138
3645	CAGL0K04257g	2.63892451419817	1.64857754402753	2.20111840688992	2.6065294840863	2.65255956220844	3.0990523803314	3.02185543676716	2.951367129225	2.87317157401855	3.49699255541355	3.0990523803314
3647	CAGL0K04301g	2.1029876207302	2.09980082958859	4.07045645569967	4.62327145018335	4.67406303433532	4.98938630306595	5.02147569135167	5.4284902224899	5.33137182289966	5.49977708402116	5.4284902224899
3790	CAGL0K07546g	9.21923993021483	8.52965845964576	9.66491605821884	10.2072234822205	10.1070155870371	10.0361134165282	10.0449127850723	9.98004660893821	9.99843872434809	10.0915941746865	10.1070155870371
3906	CAGL0K10164g	3.63005827779943	4.4890122901371	6.79646506393428	7.75511263509297	7.84535542293995	8.07697527888066	7.59150116136477	8.04088192703973	8.43225079303173	7.62807342408992	8.07697527888066
3923	CAGL0K10604g	1.75910709525924	1.66774033343268	2.8093987485279	2.99298019342288	2.71032016104283	2.39050105900618	2.06246711404375	2.02654102594107	2.16794317237019	2.21288065509246	2.8093987485279
4096	CAGL0L01771g	1.58881866067907	1.52769119564231	1.96977842731179	1.67328387440701	1.14714853600987	0.666769483865219	1.54940749646106	1.55235045243532	1.33640006516737	1.89681109530602	1.89681109530602
4218	CAGL0L04378g	2.29209144781422	3.71711485251426	4.87918784766145	5.61365460249637	5.88750137326422	6.00535058432884	6.05682136355152	6.08463674654252	6.16421443196549	5.79045592638961	6.08463674654252
4231	CAGL0L04664g	1.67038949126506	1.96244156571892	2.44537462797007	2.69342379154166	3.05186127565835	3.09932928881371	3.73419761248369	3.80601903785805	3.83710647380285	3.56292815472254	3.80601903785805
4262	CAGL0L05434g	2.87017042607675	2.10091018633492	2.70575514775136	3.65724529819971	4.37517792520179	4.77032402589872	4.89289836657262	5.74903450012237	5.87757822938773	5.70679518197583	5.74903450012237
4263	CAGL0L05456g	2.16023911514808	2.3694068680398	2.14486341561953	2.0260670813026	2.03629407333186	1.91267931346208	1.96227872681354	1.95186062969217	1.94298504634433	1.79190684450953	2.14486341561953
4363	CAGL0L07766g	1.9786953091497	-0.209044732949031	0.091449581877336	0.552280893848466	0.857918600595866	1.5199365332852	2.13954154007745	2.13109355971922	2.09575487796103	2.04405563905749	2.13109355971922
4717	CAGL0M02629g	2.08248719608471	0.791833030476966	0.624130024061343	0.435900680798134	0.429297586052258	0.705346804405413	1.04430972598458	1.52542115304388	1.52245875908374	1.57352413158692	1.52542115304388
4748	CAGL0M03305g	4.41057077098038	1.10667715379075	2.66051351582966	4.17371988415529	4.54648177232375	5.0316281302422	5.13987253148541	4.12478065870069	4.11638626967603	4.69343601964622	5.0316281302422
5127	CAGL0M11660g	4.6102321547423	5.04887498231782	4.59578759326871	5.08057609977085	5.57851407554922	5.75166250727431	6.20433726912847	6.16605558466943	6.27188300966602	6.44171459097269	6.27188300966602
5172	CAGL0M12705g	1.50478831972018	1.9674722831627	2.37944213056163	2.32694643914375	2.21267501347794	2.29130227269919	2.31395304683158	2.23842496298795	2.42372113644618	2.11001136005879	2.37944213056163
5194	CAGL0M13189g	1.59773772057848	3.17990678965871	4.56237935584173	4.74156501946553	4.67015884495664	4.58713845189411	4.14366320244637	4.5516109074427	4.59458652593913	4.16765450919368	4.67015884495664
