genes	del4.20min	del4.30min	average.d4	wt.20min	wt.30min	average.wt	minus
CAGL0F05071g	1.25197147571507	2.46076350744368	1.85636749157937	1.44840704106014	2.56978545481677	2.00909624793845	-0.15272875635908
CAGL0D06600g	1.71054859768104	2.80136903244027	2.25595881506065	1.74510029147269	3.11761011710417	2.43135520428843	-0.175396389227775
CAGL0L04598g	2.64128083234914	3.86696553988135	3.25412318611525	2.79537549972369	4.23474785025183	3.51506167498776	-0.260938488872517
CAGL0C04543g	1.5505509722545	2.79137776624715	2.17096436925082	1.78206154703425	2.86949819885722	2.32577987294573	-0.154815503694909
CAGL0H02893g	2.14919681745043	3.06580093478791	2.60749887611917	2.18765492458487	3.13121485132196	2.65943488795341	-0.0519360118342442
CAGL0E01881g	2.14544825443838	3.28570840836321	2.71557833140079	2.51704641063331	3.6697168558968	3.09338163326506	-0.377803301864264
CAGL0G09977g	2.16747711980405	3.70135381377459	2.93441546678932	2.47089383676502	3.8632708178946	3.16708232732981	-0.23266686054049
CAGL0M12969g	1.80532937807673	2.66595168631438	2.23564053219555	1.84226254970276	2.93805654724975	2.39015954847626	-0.154519016280701
CAGL0G02717g	3.18186566428309	4.4523813054213	3.81712348485219	3.34400674370391	4.72509170511121	4.03454922440756	-0.217425739555365
CAGL0H08844g	2.68987366031438	4.14480580960905	3.41733973496171	2.76778894678905	4.2970638993207	3.53242642305487	-0.11508668809316
CAGL0K10824g	2.70422065646071	3.83288710545603	3.26855388095837	2.55203727187965	4.20815442487002	3.38009584837484	-0.111541967416467
CAGL0C01771g	1.38255080310969	2.30043613048087	1.84149346679528	1.57500364200426	2.82527788888935	2.2001407654468	-0.358647298651524
CAGL0K07458g	1.46814991192381	2.32546176767973	1.89680583980177	1.65685769914479	2.52057690650263	2.08871730282371	-0.191911463021942
CAGL0K00891g	1.84697594500998	2.42779177814798	2.13738386157898	1.69248707529321	2.62139417734902	2.15694062632112	-0.01955676474214
CAGL0G02849g	2.85880509340656	4.28015559845514	3.56948034593085	2.80630063525915	4.72199599540222	3.76414831533068	-0.194667969399832
CAGL0M13189g	3.10581253986876	4.34045974616634	3.72313614301755	3.1799067896587	4.56237935584172	3.87114307275021	-0.148006929732662
CAGL0L04268g	1.80613850794086	2.61085266362675	2.20849558578381	1.97032256241363	2.87878336019582	2.42455296130472	-0.216057375520913
CAGL0G04829g	1.98426511908003	2.55662080327035	2.27044296117519	1.97969596637045	2.74436815012661	2.36203205824853	-0.0915890970733368
CAGL0M05951g	1.53959177990959	2.44803676000699	1.99381426995829	1.65244615281575	2.73341658433473	2.19293136857524	-0.199117098616945
CAGL0F04807g	2.08442575151101	3.56455654583466	2.82449114867283	1.89017464246876	3.85158357761581	2.87087911004229	-0.0463879613694531
CAGL0B03817g	1.6531974265557	2.66985857207762	2.16152799931666	2.15039525647615	2.78002247149053	2.46520886398334	-0.303680864666683
CAGL0I06094g	1.51528484094783	2.15752183747407	1.83640333921095	1.7797484828073	2.41618879094408	2.09796863687569	-0.261565297664742
CAGL0E06380g	2.91822921637345	4.04763944672821	3.48293433155083	2.8136350250837	4.39178276022322	3.60270889265346	-0.119774561102633
CAGL0B03619g	1.60580198622565	2.66456765864373	2.13518482243469	1.76766812911949	2.87193110565387	2.31979961738668	-0.18461479495199
CAGL0L06578g	1.49680738317933	2.61650865233675	2.05665801775804	1.94852854010162	2.72997082038367	2.33924968024265	-0.282591662484605
CAGL0M13937g	1.55158688963784	2.05173335043682	1.80166012003733	1.38505062428642	2.33476328592358	1.859906955105	-0.0582468350676733
CAGL0M04763g	2.7137796126615	3.8705175599619	3.2921485863117	3.02217134396233	4.32970006624837	3.67593570510535	-0.383787118793649
CAGL0I09009g	1.49164191029643	2.20041743880308	1.84602967454976	1.57254107679507	2.23390168456079	1.90322138067793	-0.0571917061281728
CAGL0F06325g	2.0398399046322	2.88988391409942	2.46486190936581	1.85130497736969	3.18315196886937	2.51722847311953	-0.0523665637537238
CAGL0E06072g	1.80516170606497	2.46544334881955	2.13530252744226	2.17711225468618	2.99037503894445	2.58374364681532	-0.448441119373057
