genes	del4vsdel4.20min	del4vsdel4.30min	del4vsdel4.45min	del4vsdel4.60min	del4vsdel4.90min	del4vsdel4.120min	del4vsdel4.150min	del4vsdel4.180min	del4vsdel4.240min	no.pi.del4.sec.max
86	CAGL0A02321g	-1.89975348031061	-1.85309386352989	-1.04159938650467	-0.411308394366382	0.654641878091049	1.26859059556392	1.47483522297637	1.8461349680509	2.01246884983408	1.8461349680509
2703	CAGL0I05390g	1.00627555881592	1.41178685562417	2.03033755050954	2.37438643415376	2.6860482450565	2.99422039776969	3.07720587248309	3.11077464056895	2.99589110513037	3.07720587248309
1405	CAGL0F05071g	1.25197147571506	2.46076350744367	3.07454020482155	3.39239050714835	3.57100940750028	3.49987365143607	3.46282020412813	3.41958030127621	3.23161716758632	3.49987365143607
4653	CAGL0M01166g	-1.30419287413115	-1.18630254067164	1.12890801981508	2.69714868811381	3.7767540840284	4.98870645605884	5.09750775349486	5.02868441181829	4.49681679498836	5.02868441181829
4052	CAGL0L00671g	-1.33838263453357	-1.62761901051839	-1.07490459442256	-0.453839742336242	0.289020757044725	1.08335737017132	1.58604967608991	1.70134573727518	1.87749089158414	1.70134573727518
1754	CAGL0G04081g	-0.786269197589588	-0.187900641719356	1.34975375459849	1.98793532447035	2.68605868732979	2.91341363765668	2.83423308044729	2.53391023841091	2.25453457463308	2.83423308044729
5176	CAGL0M12793g	0.898711376234648	1.7289477769621	2.66489769664411	3.1135622569532	3.8146124698327	4.22783635239649	4.44462261983188	4.81173093684419	4.95889203395732	4.81173093684419
1823	CAGL0G05698g	1.33644251831478	2.96086289695142	3.56218274639609	3.38600172081401	3.08858455636004	2.99427062673194	2.90451335716851	2.76339546873283	2.60503701912384	3.38600172081401
5210	CAGL0M13541g	0.749285390224479	1.46062304870616	2.0037162625296	1.94758386441304	1.69642959060045	1.60898643707818	1.44176295682308	1.31482897739046	1.2700801093359	1.94758386441304
1651	CAGL0G01716g	-0.682556045636311	-0.153413145049714	0.4144104166422	0.777642572194593	0.976676838882994	1.33247779891462	1.45506579690886	1.52188472571432	1.50772981244992	1.50772981244992
1072	CAGL0E03630g	-0.257891305216921	0.276557480122413	0.951120394816499	1.92778871429863	2.90596334405466	3.27035385081167	3.27942511200324	3.27245544706564	3.36420352150622	3.27942511200324
621	CAGL0C05071g	0.830474779277591	1.74765045844129	2.22119189998432	2.26057205213046	2.4181862670314	2.47422328753664	2.38064435035809	2.27347775488982	2.07226740968897	2.4181862670314
2866	CAGL0I09086g	-1.06200028110197	-0.0397614041917698	0.866159468482174	1.36996241430079	1.94094020528363	2.23509056939515	2.37048620776084	2.38949692202317	2.15597828892022	2.37048620776084
2267	CAGL0H05907g	1.20810553261947	1.76280221662064	1.72736307115275	1.2208355470742	0.436789776719033	0.257634716898814	-0.133266780786715	-0.178582663630616	-0.0768174408133708	1.72736307115275
3954	CAGL0K11275g	1.39889114024149	2.37601737623551	2.82242127565314	2.9451568038599	2.98927788516678	3.00204580419696	2.78697435754512	2.80090358624839	2.50895276953124	2.98927788516678
3342	CAGL0J09284g	0.747848379308153	1.40249401673701	1.91446278313203	2.61951671411848	3.25760120687276	3.30297338008363	3.39705253811791	3.25894430884276	3.2770379160029	3.30297338008363
584	CAGL0C04191g	1.60897466775509	2.85371426019833	3.55007922238589	3.65294480616475	3.77885799122409	3.67732804964543	3.60187787612145	3.52635444432877	3.23630630740596	3.67732804964543
862	CAGL0D05082g	2.79558709330303	3.90418521604474	4.05853829361226	3.87465498088618	3.82165627426698	3.74498288733077	3.66602654464776	3.59538021101158	3.3621933304936	3.90418521604474
3996	CAGL0K12254g	0.528827555216667	0.786773184607761	1.277734315722	1.7329780654332	1.98505938820528	2.11166307694166	2.17240249743261	2.20821275708086	2.12188551706723	2.17240249743261
525	CAGL0C02739g	1.94785813488935	3.33465580859319	3.91955893328019	3.89465828398907	4.03347274330677	3.91272955688284	3.81625707394441	3.6834683778854	3.38953009690159	3.91955893328019
1140	CAGL0E05148g	1.99647825742887	3.40806805456175	3.76834963389868	3.60542316665142	3.47547375497895	3.40747397158375	3.28569175300294	3.17858585001027	2.94456091622541	3.60542316665142
4228	CAGL0L04598g	2.64128083234914	3.86696553988136	4.32963486904199	4.38855071540544	4.46242648148965	4.2830942179	4.39653146864664	4.20362650691954	3.83811389572567	4.39653146864664
71	CAGL0A01870g	0.423878376248152	1.47388459506348	3.00217939262103	3.20436065698038	3.07905671238721	2.8632440035812	2.7592741034808	2.53455984760987	2.42009614120124	3.07905671238721
643	CAGL0C05555g	1.06409467577349	1.82455054396294	1.99917596220067	2.32549997572253	2.45282342695379	2.47052997463677	2.72416699780941	2.66918890581051	2.60196242095287	2.66918890581051
4245	CAGL0L05016g	0.0365619682083711	0.729858114478122	1.39604493102035	1.77554757548901	1.93385238259276	2.28318653184739	2.24028975155863	2.33597640916727	2.42133076059125	2.33597640916727
1034	CAGL0E02651g	2.4361585592771	3.48500632030894	4.01528070838351	4.1171377138312	4.21853041652731	4.06704043604509	4.05237822483817	3.88642790419113	3.78412871119796	4.1171377138312
598	CAGL0C04543g	1.5505509722545	2.79137776624714	3.50163645302788	3.62440013500684	3.84046550059548	3.94789933611484	3.93828216195401	3.89473819373518	3.54914320829823	3.93828216195401
1816	CAGL0G05544g	2.46263721316001	4.6164449795794	5.3766973721686	5.43427287520542	5.82135485378163	5.91614333011919	5.99779415136475	6.16624268862159	5.80074955992005	5.99779415136475
2340	CAGL0H07469g	0.906704792573499	3.38318124113502	5.54024023484005	6.6668683557142	7.77421732865458	8.24104937643253	8.30755444958636	8.39319867426479	8.60090893893689	8.39319867426479
2726	CAGL0I05896g	1.90526877426339	2.65100871201026	2.8438597467048	2.85121002996344	2.85554238753997	2.90561202878517	2.77910139783825	2.85661638487689	2.65521266776459	2.85661638487689
4974	CAGL0M08228g	0.546829991502152	1.40749087642806	2.07604809941471	2.2821209980501	2.27634825358877	2.49013735318733	2.4177457582948	2.43908972288776	2.55903838068304	2.49013735318733
1543	CAGL0F08261g	2.91287400361382	6.21273808636045	8.09410013410869	8.33283265285285	8.37657162314558	8.40377319737814	8.29027901861992	8.06114183351841	7.47567935529898	8.37657162314558
4146	CAGL0L02827g	2.02927852071382	3.23774395926651	3.67042876746657	3.72102698592663	3.76821474174702	3.94496352184267	3.94067040840934	3.96131068923065	3.8879484932554	3.94496352184267
2134	CAGL0H02893g	2.14919681745043	3.0658009347879	3.19218760326199	3.21306756445449	3.09758419421247	3.00195397130087	2.84352490496261	2.75079468007812	2.61291313036918	3.19218760326199
964	CAGL0E01089g	0.113388171740132	0.525850440676184	0.899562066338705	1.35849803673786	1.52620252157642	1.82125729168495	1.92991299680028	1.92445858516435	1.97292809948358	1.92991299680028
2367	CAGL0H08063g	0.729268432769363	1.57380723984214	2.10870857132526	2.30572439606072	2.68215247804854	2.82592864320014	2.9418583693255	2.95652189370974	2.83229590460734	2.9418583693255
2730	CAGL0I05962g	1.39483130738162	2.09636813997976	2.42332063609529	2.33026663774269	2.40173751315967	2.42060002937873	2.35873014256998	2.36102916342957	2.21118436919493	2.42060002937873
4160	CAGL0L03135g	1.04021259472996	1.96736692310681	2.59654182587713	2.6773568268032	2.67340358022653	2.89473170685541	2.80937093847	2.76458276455186	2.81413661114646	2.81413661114646
5110	CAGL0M11308g	0.627761491333203	1.13474594973689	1.44825001606586	1.58055440916301	1.66869695745535	1.78529757911939	1.83794793129398	1.85545283158003	1.89883476039124	1.85545283158003
