genesymbol4	S3	S4	S7	S8
CAGL0L12408g	151.034179020923	151.228749707949	48.0557298703872	62.4425701567517
CAGL0F09229g	109.940073774947	111.913435134631	82.7821332073823	79.0376676308434
CAGL0K05390g	216.67800947878	198.448730703416	73.3112959336564	80.7253046621069
CAGL0M04059g	78.4523827423169	73.0141556361624	37.532577344025	38.253106041974
CAGL0K07524g	156.637920645374	162.045661654047	460.563308903784	418.533983753363
CAGL0H02673g	78.1855379030573	80.2947694460361	26.8340389422235	33.7527406252712
CAGL0G03663g	341.828239091524	335.532287866467	270.269634052068	277.616291642856
CAGL0H07051g	219.079613032116	235.891887439909	109.440786274166	114.196772448834
CAGL0J06512g	117.144884434956	119.818101556779	39.6372078492975	50.3478380993629
CAGL0M13849g	900.067642822567	904.460252723744	517.037560795261	571.265135082715
CAGL0I04752g	478.185951953169	491.753458472615	358.488729398071	370.717601200895
CAGL0H03685g	1267.24614164375	1184.0358230229	229.755496825574	345.96559140903
CAGL0L08338g	70.9807272430486	73.8462257858622	165.213494663886	152.449878490808
CAGL0L05478g	282.321839936637	267.718570665929	378.658105073598	385.906334482267
CAGL0J10032g	312.47530677297	337.404445703292	46.8280287423116	78.1938491152116
CAGL0J02200g	43.7625536385713	42.0195425598427	80.1513450757918	85.7882157558976
CAGL0K10906g	2302.87096281019	2268.22322808181	998.29640300089	1177.97064782196
CAGL0F06897g	151.301023860183	144.780206047775	52.4403767563714	64.4114800265592
CAGL0E02981g	41.3609500852351	40.355402260443	82.7821332073823	89.4447626569686
CAGL0L05148g	1792.66363014587	1652.28329976649	799.058048501767	810.347047845052
CAGL0K04037g	104.336332150496	96.9361724400333	150.831852877858	149.918422943913
CAGL0G03003g	333.289204235217	304.537674790147	74.8897688126107	96.1953107820229
CAGL0J09878g	87.5251072771426	84.6631377319604	131.013248953209	125.447685990591
CAGL0G01276g	61.9080027082228	58.6609455538399	27.535582443981	30.658739401288
CAGL0D04004g	50.1668297808013	51.1723142065412	71.9082089301414	74.8185750526845
CAGL0K01595g	256.704735367717	259.605886706355	389.3566434754	410.939617112677
CAGL0G08866g	100.333659561603	98.184277664583	78.7482580722768	80.1627589850191
CAGL0E01485g	70.4470375645294	71.5580328741876	49.9849745002203	52.3167479691703
CAGL0L06600g	45.6304675133884	49.0921388322915	107.336155768894	99.57058484455
CAGL0I03344g	109.406384096428	122.938364618154	18.064745170255	23.6269184376898
CAGL0L05104g	62.441692386742	57.2048227918651	107.686927519773	103.227131745621
CAGL0L03784g	133.422419629791	126.474662754378	81.9052038301855	83.5380330475462
CAGL0D02904g	85.6571934023256	92.567804154109	29.2894411983747	34.596559140903
CAGL0J05786g	105.136866668275	103.384716100207	45.600327614236	53.72311216189
CAGL0E01859g	9.60641421334492	6.65656119759885	53.668077884447	60.4736602869442
CAGL0K09570g	304.203116755923	327.003568832044	140.308700351495	153.29369700644
CAGL0F07117g	17.6117593911324	21.2177888173463	62.9635292827336	57.9422047400489
CAGL0J08294g	72.8486411178657	68.2297522753882	243.961752736163	272.834653387609
CAGL0B00880g	113.142211846062	106.712996699007	37.532577344025	45.84747268266
CAGL0G04411g	305.003651273701	305.785780014697	78.5728721968375	111.384044063395
CAGL0K12012g	952.102386478186	892.187218015671	314.642260538229	381.405969065564
CAGL0J07458g	97.9320560082663	99.6404004265578	28.9386694474959	38.8156517190619
CAGL0M13101g	29.0860874792943	28.706420164645	54.5450072616439	51.1916566149946
CAGL0D02618g	98.732590526045	95.0640146032086	175.912033065687	165.107156225285
CAGL0G08250g	395.464051782699	418.115250224178	205.72763189038	225.299543673685
CAGL0B01485g	80.3202966171339	84.2471026571104	25.4309519387086	32.6276492710955
CAGL0K03619g	28.2855529615156	29.5384903143449	42.0926101054486	42.4721986201329
CAGL0E02101g	59.5063991548866	61.7812086152143	35.2525609633132	32.0651035940076
CAGL0B04169g	195.864112016533	218.002379221362	28.4125118211778	43.5972899743086
CAGL0F01661g	41.8946397637542	38.8992794984683	18.7662886720125	18.5640073438992
CAGL0E02255g	1472.18297819511	1373.53979961704	795.37494511754	777.719398573957
CAGL0L03245g	126.484453809041	127.098715366653	63.138915158173	72.2871195057891
CAGL0I00638g	21.8812768192857	24.3380518787208	49.6342027493415	46.9725640368357
CAGL0K10340g	105.670556346794	98.600312739433	148.551836497146	147.949513074105
CAGL0D00440g	61.9080027082228	65.5255242888637	38.5848925966613	37.9718332034301
CAGL0L11792g	932.889558051496	860.984587401926	430.747710079091	407.845615888693
CAGL0C05181g	239.092975976585	264.598307604554	75.9420840652469	84.9443972402658
CAGL0K11726g	946.765489692994	949.808075882386	489.50197835128	556.638947478431
CAGL0D05214g	1566.37920645374	1534.75339112138	710.488181404885	829.754873704583
CAGL0M02409g	196.931491373571	178.479047110619	34.9017892124345	48.6602010680993
CAGL0I09570g	130.220281558676	135.211399326227	92.2529704811083	88.038398464249
CAGL0L12078g	421.881690869398	416.867144999628	572.634883309541	550.732217869008
CAGL0M05841g	107.004780543092	102.136610875657	153.462641009448	148.230785912649
CAGL0D00660g	44.0293984778309	49.3001563697165	82.606747331943	81.5691231777387
CAGL0G00484g	92.8620040623343	97.3522075148832	10.6985384018015	22.2205542449702
CAGL0K04477g	699.133478860103	634.245471608715	227.300094569423	247.801370757199
CAGL0M09801g	101.134194079381	95.0640146032086	28.5878976966172	36.8467418492544
CAGL0G09449g	581.454904746627	593.474034273422	705.752762768022	721.746103703715
CAGL0K11275g	22.4149664978048	22.6739115793211	53.4926920090076	49.2227467451871
CAGL0D04796g	28.018708122256	30.1625429266198	10.8739242772409	9.5632765104935
CAGL0J08118g	46.1641571919075	40.771437335293	80.1513450757918	79.0376676308434
CAGL0C02541g	114.47643604236	112.953522821755	97.8653184951681	96.4765836205668
CAGL0D02970g	36.290898139303	35.7790164370938	11.0493101526803	14.3449147657403
CAGL0G01254g	414.676880209389	413.122829325979	315.343804039986	298.430481695106
CAGL0K12254g	67.7785891719336	76.1344186975368	126.979373818103	125.447685990591
CAGL0M01210g	98.732590526045	89.8635761675845	22.800163807118	28.9711023700244
CAGL0J10362g	149.966799663885	139.787785149576	65.9450891652029	72.2871195057891
CAGL0I07139g	154.770006770557	141.451925448976	386.375083592931	353.559958049716
CAGL0A02090g	576.118007961436	563.519508884228	211.690751655319	263.271376877115
