gene.names	S37	S38	S1	S2
CAGL0A03168g	11.0411101929738	11.1414302037119	11.1389122434358	11.3471472454491
CAGL0A03190g	5.5414878032655	4.91127133483119	5.30555817575831	5.27140354357063
CAGL0A03212g	7.55900262175098	7.71472718171665	7.53441648823533	7.99938069631962
CAGL0A03234g	11.6467760762032	11.7470896424817	11.8091024901378	12.0003740780481
CAGL0A03256g	5.30526492957173	5.3716603418418	5.59318100973526	5.29399028369842
CAGL0A03278g	11.9271082924771	12.0779430409525	12.503090948347	12.2634487269405
CAGL0A03300g	-1.20499608604852	-3.7162330380728	-3.7162330380728	-0.544709535621995
CAGL0A03322g	5.71197153529653	5.65107066754369	5.89464195931222	5.78739985727073
CAGL0A03344g	5.67204551540918	5.35201439339999	4.94594336643102	5.35434008257076
CAGL0A03355r	2.34587171050353	2.41682248539721	4.62003816278478	3.86298457035333
CAGL0A03366g	8.77204094401196	8.85752982548334	8.16166792276925	8.86134043660094
CAGL0A03388g	11.7052284437567	11.7958023064622	12.1904569921063	12.1179359793097
CAGL0A03410g	1.72038792313982	1.68347034156945	1.36125882347671	1.49496994646576
CAGL0A03432g	5.61352261854841	5.57515298706672	5.85376478982388	5.60523445971613
CAGL0A03454g	6.38638214523494	6.23530484612983	6.30416974656713	6.36904282213251
CAGL0A03476g	7.92235528783458	7.9167944466931	7.67890397637622	7.80961645959391
CAGL0A03498g	5.48115277158253	5.17548714155942	5.61780452363698	5.79533769029603
CAGL0A03520r	-3.7162330380728	-3.7162330380728	-3.7162330380728	-3.7162330380728
CAGL0A03542g	8.41593596124633	8.39356438276894	8.19273120118815	8.2401245453099
CAGL0A03564g	6.02095299387217	5.88777885490835	5.76836262823044	5.84971226713493
CAGL0A03586g	1.72038792313982	1.95753483075467	1.36125882347671	1.32990481278116
CAGL0A03608g	3.64106389510767	3.97779648903144	5.00313778573468	4.38884642468732
CAGL0A03630g	5.49265946948824	5.42528700295566	5.61780452363698	5.654068893879
CAGL0A03652g	7.3280162216833	7.6036453719387	7.78598985616695	7.55176533395912
CAGL0A03674g	5.63790845627755	5.71706204506	5.33555818120921	5.79929028866604
CAGL0A03696g	7.27680269288944	7.22056070822287	7.1807643702889	7.17354633582318
CAGL0A03718g	9.10598735512715	9.06664049370562	8.75276958892332	8.97359658117587
CAGL0A03740g	4.88388853988254	4.53278015052563	2.4535440549573	3.63428228031226
CAGL0A03762r	-3.7162330380728	-3.7162330380728	-3.7162330380728	-3.7162330380728
CAGL0A03784g	5.34389497237943	5.18883813367475	5.79019177844367	5.03710504063587
CAGL0A03806g	-2.35613349227612	-3.7162330380728	-3.7162330380728	-3.7162330380728
CAGL0A03828g	5.65848746702754	5.51282076460336	5.9441616533655	5.64969707912832
CAGL0A03850r	-3.7162330380728	-3.7162330380728	-3.7162330380728	-3.7162330380728
CAGL0A03872g	7.26790152263105	7.21077732432788	6.67651239159643	7.00409696064544
