genesymbol4	S37	S38	S1	S2
CAGL0B02926g	7.63452395596539	7.58777470851812	0.403364842729739	0.372922278523475
CAGL0M03305g	1.4324829420404	1.46676245222966	-3.7162330380728	-3.7162330380728
CAGL0M11660g	10.580340393485	10.5542371467471	5.99203786736657	5.91673994062343
CAGL0K07546g	11.7330846637292	11.9077735968594	2.4535440549573	2.62539296776359
CAGL0D05104g	-0.854651661234078	-0.932160681910556	-3.7162330380728	-3.7162330380728
CAGL0F00209g	-1.20499608604852	-1.27901749550777	-3.7162330380728	-3.7162330380728
CAGL0M03421g	-1.20499608604852	-1.27901749550777	-3.7162330380728	-3.7162330380728
CAGL0I07546r	-3.7162330380728	-3.7162330380728	-1.02448211114575	-0.907336673841057
CAGL0D06666g	-1.66867446866419	-1.73658465190743	-3.7162330380728	-3.7162330380728
CAGL0K00308r	-3.7162330380728	-3.7162330380728	0.403364842729739	0.192335937121264
CAGL0I10010g	4.13772051939175	4.047854020646	1.36125882347671	1.23970349034134
CAGL0H09262g	2.99007521270214	2.9433342576361	1.36125882347671	1.41479682228955
CAGL0L00583g	6.06529588808045	6.05992182372172	4.84527249440439	4.87427511894947
CAGL0G03949g	-2.35613349227612	-2.41056320196978	-3.7162330380728	-3.7162330380728
CAGL0G09647g	-2.35613349227612	-2.41056320196978	-3.7162330380728	-3.7162330380728
CAGL0H01903r	-2.35613349227612	-2.41056320196978	-3.7162330380728	-3.7162330380728
CAGL0L05192g	-2.35613349227612	-2.41056320196978	-3.7162330380728	-3.7162330380728
CAGL0M02871g	8.37766104550676	8.37470332840937	7.23747770261443	7.21260139681257
CAGL0L02167g	4.73035577925531	4.77627824221312	3.6485942966613	3.63428228031226
CAGL0G01540g	10.1705972847443	10.0862917953082	5.9441616533655	5.57327465532261
CAGL0G04433g	8.57142804836395	8.48388800062111	6.61056506288137	6.47415245688806
CAGL0H01639g	4.12791544442649	4.09589086060641	5.11114322335412	5.14042965298292
CAGL0A02321g	9.74730977875632	9.70449229096758	8.53088270158743	8.59020131967145
CAGL0K08844g	7.64487432059399	7.74517006371704	5.54263614328151	5.69283026868808
CAGL0A01606g	4.6708242498849	4.49027807022571	1.57753451241987	1.77737831199703
CAGL0K02519g	3.55587260276914	3.59212753647023	2.55902715649289	2.51435988046351
CAGL0M03003g	1.29904053235621	1.40708754610934	2.74934203181631	2.72848799082192
CAGL0L05456g	9.26764634864196	9.41486428146526	7.07358952341215	7.22146591601373
CAGL0M02640r	0.342974184128525	0.387418356549238	2.33973582889912	2.16817774133036
CAGL0M12705g	7.93997394453116	8.06352716593297	6.51548441693697	6.4592407314851
CAGL0A01243g	11.4742042315361	11.4142109178364	6.12681345517393	6.65734043914521
CAGL0L13387r	3.17284094002285	3.73245485447299	10.4596462439837	10.0050607962149
