gene.names	S37	S38	S1	S2
CAGL0A03718g	4621	4787	1038	3299
CAGL0A03740g	247	206	13	81
CAGL0A03762r	0	0	0	0
CAGL0A03784g	340	325	133	215
CAGL0A03806g	1	0	0	0
CAGL0A03828g	423	407	148	329
CAGL0A03850r	0	0	0	0
CAGL0A03872g	1292	1322	246	842
CAGL0A03883g	338	286	54	314
CAGL0A03905g	439	346	47	434
CAGL0A03927g	1079	991	51	954
CAGL0A03949g	797	747	171	470
CAGL0A03971g	452	526	204	423
CAGL0A03993g	428	453	125	330
CAGL0A04015g	7299	9221	2654	6485
CAGL0A04037g	1275	1369	184	1610
CAGL0A04059g	1426	1439	251	1665
CAGL0A04081g	1371	1539	204	1061
CAGL0A04103g	621	570	134	385
CAGL0A04125g	3601	3697	906	3454
CAGL0A04147g	234	214	52	149
CAGL0A04169g	1378	1365	305	973
CAGL0A04191g	839	867	89	880
CAGL0A04213g	1339	1600	403	1041
CAGL0A04235g	570	551	170	414
CAGL0A04257g	1730	2093	646	1463
CAGL0A04279g	488	455	80	402
CAGL0A04301g	1035	1064	126	507
CAGL0A04323g	846	960	191	463
CAGL0A04345g	1220	1169	274	863
CAGL0A04367g	216	221	67	171
CAGL0A04389g	448	404	144	379
CAGL0A04411g	656	710	215	577
CAGL0A04433g	2889	3010	393	1542
CAGL0A04455g	1139	1096	249	688
CAGL0A04477g	469	521	110	324
CAGL0A04499g	296	292	93	228
CAGL0A04521g	32136	38022	10586	30794
CAGL0A04532r	4	5	1	6
CAGL0A04543g	771	702	208	673
CAGL0A04565g	950	998	418	1113
CAGL0A04587g	134	173	29	124
CAGL0A04631g	766	953	220	660
CAGL0A04653g	537	592	202	451
CAGL0A04675g	77	88	14	41
CAGL0A04697g	1209	1249	155	622
CAGL0A04719g	2001	2080	567	1542
CAGL0A04741g	2745	2937	920	2211
CAGL0A04785g	1367	1319	376	1053
CAGL0A04807g	1140	1135	382	855
CAGL0A04829g	7315	8935	895	4890
CAGL0A04873g	0	0	0	0
CAGL0B00105g	0	0	0	0
CAGL0B00110g	1	3	0	0
CAGL0B00116g	0	3	0	0
CAGL0B00165r	0	0	0	0
CAGL0B00220g	0	0	0	0
CAGL0B00242g	0	0	0	0
CAGL0B00264g	0	0	0	0
CAGL0B00286g	1961	2167	464	855
CAGL0B00308g	468	464	151	356
CAGL0B00330g	744	740	255	676
CAGL0B00352g	1565	1822	621	1324
CAGL0B00374g	441	400	190	378
CAGL0B00396g	1697	1861	344	1122
CAGL0B00418g	1591	1678	471	1169
CAGL0B00440g	1178	1173	440	989
CAGL0B00462g	6	7	1	5
CAGL0B00484g	2037	2713	801	1844
CAGL0B00506g	752	792	233	524
CAGL0B00528g	358	586	126	366
CAGL0B00550g	2125	2501	696	1802
CAGL0B00572g	2	3	1	5
CAGL0B00594g	5038	7012	1762	5103
CAGL0B00616g	22	20	7	10
CAGL0B00638g	237	284	78	188
CAGL0B00660g	1364	1514	430	1141
CAGL0B00682g	533	610	137	353
CAGL0B00704g	5543	5982	1589	4481
CAGL0B00715g	15	12	2	2
CAGL0B00726g	5	5	2	8
CAGL0B00748g	605	660	138	421
CAGL0B00770g	540	456	103	306
CAGL0B00792g	3173	3710	1010	2712
CAGL0B00814g	1050	976	110	671
CAGL0B00836g	907	848	191	410
CAGL0B00858g	435	402	90	257
CAGL0B00880g	899	997	303	650
CAGL0B00902g	1127	2026	632	2248
CAGL0B00924g	258	249	48	157
CAGL0B00946g	1754	1750	285	1357
CAGL0B00968g	18	15	6	20
CAGL0B00990g	523	385	36	305
CAGL0B01012g	32	22	4	22
CAGL0B01034r	1	0	2	0
CAGL0B01078g	106	110	15	49
CAGL0B01100g	783	563	33	423
CAGL0B01122g	12109	13989	3591	12699
CAGL0B01144g	506	495	118	337
CAGL0B01166g	1017	1070	324	830
CAGL0B01188g	863	808	317	879
CAGL0B01203g	14645	17132	6387	14923
CAGL0B01232g	849	969	184	1070
CAGL0B01243g	0	0	0	0
CAGL0B01265g	5	14	7	6
CAGL0B01287g	300	341	113	291
CAGL0B01309r	2	0	0	2
CAGL0B01331g	488	564	162	428
CAGL0B01353g	730	740	222	593
CAGL0B01375g	2529	2852	762	2002
CAGL0B01397g	973	1130	299	947
CAGL0B01419g	1368	1435	252	1066
CAGL0B01441g	1614	1736	341	1317
CAGL0B01463g	983	1067	303	817
CAGL0B01485g	615	663	214	485
CAGL0B01507g	367	433	119	263
CAGL0B01529g	309	333	52	153
CAGL0B01551g	922	962	272	714
CAGL0B01573g	477	467	155	352
CAGL0B01589g	394	408	171	352
CAGL0B01595g	91	100	41	74
CAGL0B01617g	502	580	156	361
CAGL0B01639g	592	537	157	398
CAGL0B01661r	0	0	0	0
CAGL0B01683g	1916	2059	625	1449
CAGL0B01705g	299	387	109	241
CAGL0B01727g	323	281	62	155
