genesymbol3.120m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01243g	5.22530812827782	11.909706760598	58.8527941628054	4.79854477929715e-13	1.86331659674369e-09	20.1974699854914
CAGL0F05071g	4.01549939670988	6.97149328620044	51.8968794326122	1.49981471791988e-12	1.86331659674369e-09	19.2800520557206
CAGL0G06050g	10.2872767892773	7.77283818243811	50.911219905114	1.78426132158987e-12	1.86331659674369e-09	19.1348498005981
CAGL0A01650g	5.01212637366368	9.3385542249989	50.5516668410231	1.9025343967577e-12	1.86331659674369e-09	19.080842024001
CAGL0K07546g	10.1656057642651	10.9560755763681	49.3193640096309	2.37893713873586e-12	1.86331659674369e-09	18.8913777434445
CAGL0F08261g	7.29442811762917	7.29769393373498	49.0871924952255	2.48277348564922e-12	1.86331659674369e-09	18.8549074090998
CAGL0G05269g	9.08940517138208	7.24372590531215	48.7556371392538	2.63988627784147e-12	1.86331659674369e-09	18.8023896336136
CAGL0G02563g	7.83093428564766	3.8236169928252	47.9644937285823	3.06130030421961e-12	1.86331659674369e-09	18.6749647763045
CAGL0B02475g	9.63715169181929	11.7221299034515	47.724664372188	3.20340962190892e-12	1.86331659674369e-09	18.635738896999
CAGL0K11275g	3.64580895499766	7.18963952034868	44.570133762203	5.94812057511695e-12	3.11384112107373e-09	18.0923594658664
CAGL0H08844g	4.94096951224871	9.27469390869057	42.3553082544985	9.43207705517038e-12	4.48881121671063e-09	17.6778629881951
CAGL0G08734g	-5.47290386018242	5.66025026002372	-41.6423827263247	1.09969303781078e-11	4.79741087744954e-09	17.5381245525236
CAGL0L04378g	6.12299754258532	8.46054625559588	40.5082603260224	1.41151796209047e-11	5.68407425503354e-09	17.3090928352163
CAGL0C05027g	6.30719003116319	7.15898143172217	39.7054475113577	1.69146246798875e-11	5.96154282821959e-09	17.1417601206564
CAGL0G02717g	5.11660525881767	6.90017444643789	39.6622659382946	1.70817846080791e-11	5.96154282821959e-09	17.1326334956299
