CAGL0F00803g	GAL11B
CAGL0G00286g	GAS1
CAGL0M13849g	GAS2
CAGL0G01056g	GAS3
CAGL0F03883g	GAS4
CAGL0F01287g	GAS5
CAGL0L03003g	GCN3
CAGL0L02475g	GCN4
CAGL0I01100g	GCY1
CAGL0G09977g	GDB1
CAGL0G05698g	GDH2
CAGL0K01925g	GDI1
CAGL0M08052g	GEA2
CAGL0L07304g	GET3
CAGL0B02563g	GIN3
CAGL0A01243g	GIT1
CAGL0K02079g	GLC7
CAGL0F00605g	GLK1
CAGL0C01265g	GLM4
CAGL0G00924g	GLM5
CAGL0J01595g	GLM6
CAGL0C02277g	GLN3
CAGL0L07656g	GLO1
CAGL0H05665g	GLR1
CAGL0L01089g	GLT1
CAGL0M13343g	GND1
CAGL0F06677g	GPA1
CAGL0K01683g	GPD1
CAGL0C05137g	GPD2
CAGL0E06358g	GPM1
CAGL0C01705g	GPX2
CAGL0E05170g	GRE2(A)
CAGL0E05280g	GRE2(B)
CAGL0I01122g	GRE3
CAGL0I04554g	GRX7
CAGL0L03630g	GSH1
CAGL0F00825g	GSH2
CAGL0L00891g	GVP36
CAGL0K12540g	HAC1
CAGL0K05841g	HAP1
CAGL0H07843g	HAP2
CAGL0K09900g	HAP5
CAGL0B00990g	HBN1
CAGL0B02607g	HEM1
CAGL0L04664g	HEM15
CAGL0D06138g	HEM2
CAGL0K03509g	HFD1
CAGL0C04114g	HHT2
CAGL0L00759g	HIS1
CAGL0L02937g	HIS3
CAGL0B00902g	HIS4
CAGL0C05159g	HLP
CAGL0I04730g	HMT1
CAGL0G05423g	HO
CAGL0M11748g	HOG1
CAGL0E01133g	HOM2
CAGL0J02882g	HOM3
CAGL0M00330g	HOM6
CAGL0F02563g	HPT1
CAGL0L00495g	HSC82
CAGL0H08283g	HSP10
CAGL0J04202g	HSP12
CAGL0C00275g	HSP31
CAGL0K05973g	HSP60
CAGL0M08822g	HSP78
CAGL0C05357g	HST1
CAGL0L08668g	HST2
CAGL0H07579g	HXK2
CAGL0D00330g	HYM1
CAGL0D00770g	IDP1
CAGL0H07513g	IFA38
CAGL0B03047g	ILV5
CAGL0E03454g	IMH1
CAGL0J05676g	INN1
CAGL0I06050g	INO1
CAGL0B01947g	INO2
CAGL0I07359g	INO4
CAGL0B04631g	INP53
CAGL0K02805g	IPC1
CAGL0H09878g	IPP1
CAGL0F01947g	IRC15
CAGL0J02662g	IRC5
CAGL0F03245g	IRE1
CAGL0D02948g	KAR2
CAGL0D04994g	KAR3
CAGL0M02431g	KES1
CAGL0J07546g	KEX2
CAGL0H07997g	KNH1
CAGL0C02299g	KRE29
CAGL0C00363g	KRE9
CAGL0K12012g	KRS1
CAGL0I03696g	LDB17
CAGL0D02442g	LEM3
CAGL0H03795g	LEU2
CAGL0E02695g	LIG4
CAGL0F08107g	LSC2
CAGL0L08932g	LSP1
CAGL0G02585g	LYS12
CAGL0J09240g	LYS21
CAGL0F06017g	LYS7
CAGL0C03443g	LYS9
CAGL0H02739g	MAS1
CAGL0B01243g	MATalpha1
CAGL0B01265g	MATalpha2
CAGL0K06919g	MCX1
CAGL0M07876g	MDE1
CAGL0L05236g	MDH1
CAGL0M09735g	MEC3
CAGL0D01386g	MED1
CAGL0C04477g	MED2
CAGL0G01903g	MET1
CAGL0J09504g	MET12
CAGL0F07029g	MET13
CAGL0D06402g	MET15
CAGL0C05247g	MET22
CAGL0K08668g	MET28
CAGL0B03839g	MET3
CAGL0L00781g	MET30
CAGL0G06688g	MET4
CAGL0I04994g	MET6
CAGL0J03762g	MET7
CAGL0K06677g	MET8
CAGL0D03190g	MEU1
CAGL0C01919g	MFA2
CAGL0H03135g	MFalpha
CAGL0M03597g	MID1
CAGL0M10131g	MIF2
CAGL0A01628g	MIG1
CAGL0G07491g	MNN11
CAGL0I04532g	MNN2
CAGL0H03531g	MNP1
CAGL0M13805g	MP65
CAGL0D04576g	MRI1
CAGL0K01375g	MRP10
CAGL0M00858g	MRPL4
CAGL0F05995g	MSN2
CAGL0M13189g	MSN4
CAGL0M01144g	MSN5
CAGL0F07667g	MSS11
CAGL0G02189g	MTD1
CAGL0D01265g	MT-I
CAGL0H04257g	MT-II
CAGL0H04279g	MT-IIB
CAGL0E00341g	MTL1a
CAGL0B00264g	MTLalpha2
CAGL0B01573g	MTQ2
CAGL0H05291g	MUK1
CAGL0B02838g	MUP1
CAGL0K07590g	MYO3
CAGL0L06600g	NAS6
CAGL0G01540g	NCE103
CAGL0D04114g	NCP1
CAGL0I10318g	NDC10
CAGL0L01859g	NFU1
CAGL0G01210g	NIT3
CAGL0A04059g	NMT1
CAGL0B01397g	NOP8
CAGL0D00264g	NUD1
CAGL0J11572g	NUF2
CAGL0F06171g	nup116
CAGL0E05060g	NUT1
CAGL0M07403g	OAZ1
CAGL0K03267g	OPI1
CAGL0F00363g	OPI3
CAGL0I02024g	OYE2
CAGL0J01892g	PAN1
CAGL0M07920g	PDC
CAGL0F02717g	PDH1
CAGL0B00704g	PDI1
CAGL0A00451g	PDR1
CAGL0L10560g	PDR13
CAGL0J07436g	PDR16
CAGL0I04708g	PDX3
CAGL0M02211g	PEP4
CAGL0J02926g	PET117
CAGL0H09174g	PEX1
CAGL0M08690g	PEX10
CAGL0D02618g	PEX11
CAGL0M07469g	PEX12
CAGL0A04147g	PEX13
CAGL0E05082g	PEX14
CAGL0F00935g	PEX15
CAGL0K04851g	PEX17
CAGL0D00792g	PEX19
CAGL0I06292g	PEX2
CAGL0F08019g	PEX21
CAGL0I02134g	PEX21B
CAGL0J07194g	PEX22
CAGL0F08657g	PEX23
CAGL0A00957g	PEX23B
CAGL0I01870g	PEX24
CAGL0I10879g	PEX25
CAGL0M08866g	PEX29
CAGL0M01342g	PEX3
CAGL0M06061g	PEX32
CAGL0I10450g	PEX4
CAGL0K11209g	PEX5
CAGL0J09570g	PEX5B
CAGL0D02574g	PEX6
CAGL0B01529g	PEX7
CAGL0K01221g	PEX8
CAGL0F08041g	PFK1
CAGL0L10758g	PFK2
CAGL0I01078g	PFY1
CAGL0A01325g	PGD1
CAGL0H05445g	PGI1
CAGL0L07722g	PGK1
CAGL0K07480g	PGM1
CAGL0B04741g	PGS1
CAGL0F02145g	PHM1
CAGL0G06952g	PHM3
CAGL0M12705g	PHM4
CAGL0C02321g	PHM8
CAGL0L07436g	PHO2
CAGL0G06556g	PHO23
CAGL0D05170g	PHO4
CAGL0H07359g	PHO8
CAGL0E02541g	PHO80
CAGL0L06622g	PHO81
CAGL0B02475g	PHO84
CAGL0L12474g	PHO85
CAGL0L05456g	PHO86
CAGL0F02387g	PHO87
CAGL0K12276g	PHO88
CAGL0I05632g	PHO91
CAGL0G02915g	PIL1
CAGL0I06204g	PIR1
CAGL0I06182g	PIR2
CAGL0M08492g	PIR3
CAGL0I06160g	PIR4
CAGL0M08514g	PIR5
CAGL0G04609g	PKH2
CAGL0J11770g	PLB1
CAGL0J11748g	PLB2
CAGL0A00495g	PMA1
CAGL0K07524g	PMU1
CAGL0K07546g	PMU2
CAGL0K07568g	PMU3
CAGL0K03817g	POM152
CAGL0I03938g	PPH21
CAGL0D03894g	PRO1
CAGL0F00693g	PRO2
CAGL0I08283g	PRO3
CAGL0K09966g	PRT1
CAGL0H04983g	PSA1
CAGL0M13871g	PSE1
CAGL0E04620g	PST1
CAGL0H10032g	PST2
CAGL0H10604g	PUB1
CAGL0M12947g	PUP1
CAGL0I02442g	PUP2
CAGL0I10147g	PWP1
CAGL0I10246g	PWP2
CAGL0I10200g	PWP3
CAGL0I10362g	PWP4
CAGL0I10340g	PWP5
CAGL0M14069g	PWP6
CAGL0I10098g	PWP7
CAGL0F06941g	PYC1
CAGL0M12034g	PYK1
CAGL0G08624g	QDR2
CAGL0L09801g	RAM2
CAGL0K04917g	RAP1
CAGL0E01567g	RBX1
CAGL0E06248g	RCN1
CAGL0J04158g	RCN2
CAGL0L13398r	RDN18-1
CAGL0L13365r	RDN25-1
CAGL0L13409r	RDN5-1
CAGL0L13387r	RDN58-1
CAGL0H06479g	REH1
CAGL0C01837g	RER1
CAGL0G00726g	RFA1
CAGL0L11022g	RFM1
CAGL0L13112g	RGR1
CAGL0I08459g	RHO1
CAGL0K08316g	RHO4
CAGL0M12430g	RHR2
CAGL0B01419g	RIB4
CAGL0F05203g	RIB7
CAGL0B03399g	RIF1
CAGL0I03190g	RIP1
CAGL0H05621g	RLM1
CAGL0J11858g	RML2
CAGL0G04873g	ROM2
CAGL0I03828g	RPB1
CAGL0L04246g	RPB2
CAGL0J10164g	RPL16A
CAGL0I06380g	RPM2
CAGL0L08580g	RPN10
CAGL0K01727g	RPN4
CAGL0G00990g	RPP0
CAGL0K11748g	RPS11B
CAGL0J07238g	RPS12
CAGL0L10142g	RSB1
CAGL0K00715g	RTA1
CAGL0A04785g	RTG2
CAGL0C02189g	SAH1
CAGL0B01122g	SAM1
CAGL0J08415g	SAM2
CAGL0A00407g	SCL1
CAGL0K04279g	SCM4
CAGL0B04235g	SCP120
CAGL0F03399g	SCS7
CAGL0G00308g	SCW4
CAGL0F08129g	SDA1
CAGL0H09218g	SDT1
CAGL0D04290g	SEC14
CAGL0M12903g	SEC28
CAGL0K12848g	SEC53
CAGL0M01518g	SHE9
CAGL0E02475g	SIN3
CAGL0K01463g	SIR2
CAGL0M00770g	SIR3
CAGL0K11396g	SIR4
CAGL0E04092g	SIT1
CAGL0F09097g	SKN7
CAGL0J06182g	SKO1
CAGL0J07656g	SLA2
CAGL0J00539g	SLT2
CAGL0F04961g	SMD2
CAGL0M08910g	SNF1
CAGL0M04807g	SNF2
CAGL0E03718g	SNF6
CAGL0I04862g	SNQ2
CAGL0C04741g	SOD1
CAGL0I02200g	SOL3
CAGL0H02607g	SPE2
CAGL0D01408g	SPE3
CAGL0M04609g	SPE4
CAGL0J07634g	SPO72
CAGL0B01353g	SPT20
CAGL0E00627g	SRB8
CAGL0K05291g	SRO7
CAGL0G03795g	SSA1
CAGL0G03289g	SSA3
CAGL0C05379g	SSB1
CAGL0K04741g	SSB2
CAGL0M06083g	SSE1
CAGL0M10829g	SSK2
CAGL0H06413g	SSR1
CAGL0H00374g	SST2
CAGL0I02552g	STB5
CAGL0B02739g	STE11
CAGL0M01254g	STE12
CAGL0K12430g	STE2
CAGL0K02673g	STE20
CAGL0M08184g	STE3
CAGL0L06094g	STR3
CAGL0F06347g	STV1
CAGL0L08426g	SUE1
CAGL0J10956g	SUM1
CAGL0L05434g	SUN4
CAGL0H01375g	SUR2
CAGL0G04851g	SUR4
CAGL0L12386g	SUV3
CAGL0A04565g	SWI4
CAGL0E01331g	SWI5
CAGL0B01166g	SWI6
CAGL0A02068r	tA(AGC)1
