genesymbol3.20m	S3	S4	S7	S8	S11	S12	S15	S16	S19	S20	S23	S25	S26	S29	S31	S32	S35
CAGL0G07975g	6.910321541	6.903479027	5.182496733	5.57292424	4.190999917	4.260655563	3.786323594	3.93720972	4.229534776	4.334828651	4.670041197	4.96794679	5.018089454	5.173777052	4.779625725	5.301169157	5.491575727
CAGL0J03718g	7.626311682	7.4162148	5.710929812	6.042260184	5.294248013	5.270561907	5.216193192	4.861425446	5.000490174	5.062558469	5.413606886	5.589520867	5.596458073	5.7345066	5.744232364	5.89042482	6.03109997
CAGL0K10362g	6.253106022	6.37250951	4.404947497	4.289746884	3.1970514	2.985129556	2.740495257	2.554658456	2.767903961	3.180444083	3.619813596	4.191605249	4.088307739	4.053655249	3.681560164	4.329870672	4.375311318
CAGL0F01793g	8.412031765	8.12645598	7.180207403	7.11392257	6.19513514	6.281824942	6.199819223	6.125662614	6.310502405	6.385319985	6.937333912	7.240289461	7.13319672	7.66090822	7.528217154	7.883788777	8.052329941
CAGL0H05643g	10.70688338	10.67654152	9.369639216	9.663456398	7.807705416	7.87319907	6.286900036	6.234419371	6.492071528	6.310052471	6.53370985	7.149785156	7.157845401	7.204426815	6.442143593	7.086149109	7.541545343
CAGL0F04807g	4.986898122	4.756098531	6.789985278	6.806722367	8.736301729	8.896891701	9.379453893	9.418137645	9.316180468	9.48302592	9.538600246	9.238368073	9.132416413	9.481130656	10.35235133	9.360144912	9.169642205
CAGL0M09207g	3.606464948	3.65302236	5.074674192	4.798253775	6.000641877	6.19721385	6.305557716	6.317681388	6.186892004	6.307077655	6.24008989	5.726293399	6.138496068	6.116903864	6.259311035	5.955079142	5.661227165
CAGL0B03993g	9.728160729	9.66094359	8.613236516	8.647222662	7.61283554	7.358079049	6.229434038	6.094521369	6.674954897	6.475522966	6.934852344	7.732540067	7.699189489	8.086542024	7.639052701	8.055020754	8.376256987
CAGL0E01837g	6.016140316	6.035826275	7.340102582	7.073391268	9.289571884	9.129386121	10.27377383	9.931299029	10.2158264	10.01126077	10.23013905	10.23507008	9.932859512	10.27573439	10.68694379	10.09226003	10.17587887
CAGL0G02167g	7.057605887	7.063162471	5.669171829	5.982897952	4.955400224	4.902430042	5.049103121	5.03184058	5.175461168	5.296526474	5.520081797	5.898304236	5.9966397	5.976993696	5.580531382	5.971622605	6.264857843
CAGL0H07205g	7.121700074	7.07012243	5.500842039	5.870929097	4.313124999	4.34777846	4.095966822	4.085364054	4.696449511	4.610524573	4.75689691	4.994194106	5.195953256	5.459134176	4.93561292	5.505848137	5.781033913
CAGL0F04103g	7.270485484	7.166359224	5.690201898	5.934977144	5.199528296	5.192010823	5.049103121	5.31006046	5.339250947	5.296526474	5.556050575	5.589520867	5.899001266	5.828321435	5.701396768	5.796975822	6.220508735
CAGL0G05874g	7.311036139	7.448621867	6.081013605	6.445521167	4.989105897	5.11604393	4.741777148	4.723480661	5.076763637	5.048377425	5.259514611	5.667704335	5.855827674	5.375868031	5.445148852	5.826379354	6.037129287
CAGL0M09229g	6.57370246	6.770218232	8.019788359	7.78900141	8.897626732	9.016155809	9.432937138	9.600682936	9.358810198	9.326933821	8.906260718	8.594672216	8.712095945	8.81796552	9.01850253	8.587138077	8.258625949
CAGL0M03619g	6.53998119	6.568736572	4.773410848	5.011301327	3.665745403	3.606380706	3.786323594	3.681842167	4.032954425	4.05172071	4.185160932	4.707383914	4.800067712	4.629219508	4.114893638	4.828330012	4.705666301
CAGL0M11616g	7.717753145	7.804905145	6.011700889	6.526282995	4.73473851	5.130156953	5.91396736	5.919982199	6.294620241	6.185998534	7.097899195	7.404231802	7.500939313	7.455217771	6.961011536	7.27793235	7.466459466
CAGL0M10527g	7.562663233	7.434308521	5.500842039	5.948831994	4.520961352	4.247768563	4.597822934	4.400338402	4.845605092	4.952638577	5.56570658	5.87023543	6.027770643	6.098841634	5.402996131	5.965027967	6.207201136
CAGL0F08547g	11.67212617	11.60042712	10.64215209	10.69763914	9.35404733	9.30683207	8.141421363	7.979538168	8.208179471	8.019328274	8.115137811	8.619474785	8.445276367	8.748908844	8.272929004	8.766602395	9.127524969
CAGL0E05522g	6.873565468	6.839744933	4.868728873	5.13764614	2.972825005	2.749478421	1.959049241	1.357185769	1.169387537	1.338192413	2.445695617	1.651372811	2.06412014	2.094514009	1.427789703	2.127533042	3.121622038
CAGL0F06061g	6.093729966	6.192865916	7.273733554	7.16526299	8.171424471	8.240667205	8.554086993	8.485526039	8.516188978	8.528583416	8.417565756	8.307768327	8.239177737	8.304285907	8.543361345	8.06430585	7.941778455
CAGL0K00341g	3.670199858	3.602710711	4.550050806	4.858212277	6.000641877	6.060196357	6.337639076	6.410516698	6.3836432	6.286080402	6.444065173	6.202142891	6.306911214	5.99663692	6.537773024	6.035962256	6.26742464
CAGL0L04928g	8.070537784	7.981404766	6.689128898	6.923585879	5.858345942	5.798230643	5.53357378	5.50686906	5.638782088	5.523650939	5.799179127	5.494650865	5.705861732	5.655505152	5.413650337	5.844456821	6.127498351
CAGL0B02277g	6.289075182	6.234764295	5.009238712	5.12549809	4.236614088	3.978118215	3.459752991	3.605353021	4.212730419	4.107500291	4.159883695	4.586078395	4.184504065	4.3526346	4.325129781	4.466873411	4.903449728
CAGL0A04829g	8.03919889	8.011846195	8.824733332	8.888269964	10.85991514	10.85284502	11.1522345	10.81730922	10.46276795	10.21801717	9.897887434	9.486964772	9.401998397	9.2449193	9.605525069	8.99213776	8.307458987
CAGL0L06820g	5.686957051	5.771232606	7.031588588	6.855345362	8.175089813	8.101654739	8.06271925	8.04434921	7.873305149	7.952364227	7.7666259	7.477383807	7.345757109	7.578581701	8.033757952	7.46599137	7.20511315
CAGL0H00957g	9.06218836	9.109464868	7.947394194	8.104267309	7.024368011	7.068555908	6.412703906	6.492438131	6.417035823	6.530120918	6.295302123	6.625226293	6.659488647	6.622250419	6.201051722	6.661730234	6.829501509
CAGL0E02937g	6.638868724	6.477451109	4.515120119	5.149692753	3.411101668	3.045947122	2.684574523	2.708842807	2.981372305	2.893649904	2.897024256	3.668804756	3.561373417	3.770380285	3.772659319	4.25615994	4.365760849
CAGL0G02453g	7.395956583	7.441482945	5.395944796	5.741596113	5.054243033	5.157975455	5.819764093	6.026484707	6.294620241	6.429759427	6.66378043	7.274602227	6.869415907	7.374938613	7.09170495	7.141298078	7.383705581
CAGL0G09119g	5.790964521	5.906997715	4.125051293	4.104114653	2.99953076	3.266422381	2.050377066	2.237435716	3.639160885	3.044161788	3.794223572	4.113939456	4.224653633	3.85889958	4.369584464	4.178479414	4.570855965
CAGL0C01331g	6.832370184	6.826105063	5.458568608	5.590706965	4.750546996	4.89418371	4.714112538	4.723480661	5.218184631	5.241494717	5.56570658	5.831940122	5.592079947	5.549301978	5.548663829	5.948408271	5.784622167
CAGL0J04158g	4.855986206	4.856128115	6.727780969	6.484090452	7.370947275	7.290568668	7.223799465	7.178653243	7.390470874	7.325614878	7.232300945	7.157547851	6.872126811	7.020652983	7.452742306	6.932378502	6.730655595
