genes	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0K07656g	-1.15943779229981	-2.46399454038076	-3.70623827385643	-3.25995684081274	-3.10470576910378	-2.74703896278252	-2.69782221494701	-2.82886687777848	-2.37029743131746	7.05703012668164	36.8509315608613	6.47690348424631e-07	2.66671619796513e-06
CAGL0F07975g	1.99821692037259	2.68521893760332	2.67302518734982	2.65582529451329	2.56926126645993	2.41000435636027	2.68508121670541	2.73632744072133	2.28132775853391	6.86372877716796	36.7949419697638	6.52826929764016e-07	2.6818530372406e-06
CAGL0G09119g	-1.7368974027394	-2.73224959627883	-3.68842235477925	-2.54970571107386	-2.06503827701452	-1.66691795379987	-1.99935413724543	-1.57075489041542	-1.28640019071004	3.90004542181522	36.7932799807524	6.5298013839783e-07	2.6818530372406e-06
CAGL0A01562g	-1.04946694365135	-2.48574399191657	-5.07077266507193	-5.38329152026085	-5.24219890517831	-4.25851185592856	-4.3121434686458	-4.9159002157789	-3.66117359301477	8.52909626562691	36.7861484568885	6.53638033097206e-07	2.6818530372406e-06
CAGL0J07766g	-2.61077226189363	-4.58444648771895	-4.40623997011958	-3.94006156937732	-3.37059985489095	-2.58376884684002	-2.43072114943792	-2.33279995085784	-1.99834793883111	5.37257246493675	36.7856324208487	6.53685668676027e-07	2.6818530372406e-06
CAGL0K00627g	-0.482021144277557	-1.185994893587	-1.53130648588608	-1.80212916919434	-1.95190836391814	-1.94961201838667	-2.16588285446714	-1.9786896853196	-1.89879432182971	5.22970971438135	36.7184233469232	6.59925023837064e-07	2.70228324122922e-06
CAGL0J04906g	0.530989145569982	1.27995185597227	1.98358600141621	2.08803260601803	2.47403100500273	2.46671368627536	2.44224288385301	2.64559042216993	2.54511541367967	6.38315952325633	36.6539286552944	6.65978728958132e-07	2.72162267454787e-06
CAGL0D05500g	-1.64038439724874	-3.36324605813143	-3.92436314474421	-3.35865484057937	-2.95485381953091	-2.66552954418898	-2.66023388577882	-2.60811172607852	-2.1326071192194	4.61007930367678	36.5691044334654	6.74040948568632e-07	2.74813424124361e-06
CAGL0M05467g	1.50625929736002	2.46331978766409	3.04871321450918	3.20720570092621	3.1642248182595	3.1874050226113	2.98642575277289	3.00714475058111	2.71854885393974	6.24067555354809	36.5506676047078	6.75808540859986e-07	2.75319666256967e-06
CAGL0A03234g	-1.01308680329294	-1.82283854960264	-2.60772266125295	-2.72653014909176	-2.5335646846225	-1.91971253098125	-1.69874781338545	-1.99243411041071	-1.31736481216694	10.4105992317126	36.5199610791634	6.7876465079836e-07	2.76308938330436e-06
CAGL0I01232g	-0.225191279733663	-0.741847680298377	-1.7065898227809	-1.22969197264383	-1.68492595179142	-2.08578899246088	-1.88375473983006	-1.26278270914901	-1.904029213691	6.48092770550217	36.4122368229143	6.89256896203086e-07	2.79710066017299e-06
CAGL0L06622g	1.91622604234095	1.85388975818607	1.9650235308817	1.84676526123637	1.94654002438198	1.95470759918021	1.87260833476747	1.76085729461142	2.08160502319321	7.92573057914751	36.3858355837169	6.91857551949804e-07	2.80330826970373e-06
CAGL0I04620g	1.17321040641736	2.06136097215081	2.33457064365672	2.25948355394537	2.12837657125753	1.9058664318862	1.78733953612482	1.83226989184871	1.66143363151124	7.29437632044108	36.3394540377821	6.96454532657802e-07	2.81757301272302e-06
CAGL0L12012g	1.82038112109884	3.37233315973884	4.35150546693352	4.52770216434501	4.84941632569061	4.92464704715605	4.81946604805317	4.914030873661	4.49997285572828	6.22313408951663	36.3193079287397	6.98462508854603e-07	2.82351446629641e-06
CAGL0D04092g	1.25995610406623	1.97996071231757	2.04541878667605	1.95204738181204	1.58499831516021	1.56223917244251	1.69719783081122	1.75442598444276	0.914991067191884	8.24873886364231	36.305495808976	6.99843129497045e-07	2.82691264113969e-06
CAGL0A01958g	-1.47735728234123	-2.08600529704767	-2.36461637762661	-2.1186629342621	-1.62552000122705	-1.31482002290599	-1.2521778419899	-1.54892349176975	-1.07541546879129	5.49608415348488	36.157145209971	7.14877244368241e-07	2.88097180467109e-06
CAGL0C01419g	-1.63863999130795	-2.92582808927798	-2.72570186452327	-2.48498378145075	-2.10607743851197	-2.18978151549837	-1.50066492246913	-1.58508593595903	-0.875896598711043	4.14024599289615	36.099878433067	7.20782751928309e-07	2.8958539572868e-06
CAGL0D05016g	-1.55364364302425	-2.47739748266466	-2.724363973732	-2.34967678065874	-1.94919293209423	-1.63986039104243	-1.61052358353277	-1.76626017526133	-1.26614934125076	4.83970793463454	36.0676350822622	7.24133163951023e-07	2.90485602550468e-06
CAGL0F04983g	-2.53962076696733	-4.45814178884412	-4.30785333929062	-3.70745992848094	-3.01134021406496	-2.5222772045393	-2.49223197826692	-2.88126224485452	-2.06908295190139	4.95429303371097	35.9284293002589	7.38811188890388e-07	2.94790222916255e-06
CAGL0H05841g	1.07948248173126	1.84085294998209	2.21774747716192	2.05327039881167	2.10009190656815	2.05529380792094	2.06491227813908	2.07966764855898	1.86526762887544	5.616533343099	35.9232056538837	7.39368792147168e-07	2.94790222916255e-06
CAGL0J11066g	-2.71810747334065	-5.23731640697947	-4.96912891571211	-4.38122376574488	-3.29888342377505	-2.47711628140139	-2.33383164711245	-2.65741270803266	-1.70433607754091	4.54714480321845	35.8533246199065	7.46876397550382e-07	2.96653865036134e-06
CAGL0G10043g	-1.54006830748512	-2.74882773490599	-2.88351834857952	-2.87680443013882	-2.56234994177253	-2.02230480535053	-2.25228980423954	-2.32142923084078	-1.68367087366625	5.92775171747779	35.8446182773393	7.47818058964555e-07	2.96730643757603e-06
CAGL0K03795g	-2.36060880743695	-4.31307474350764	-4.28633344666651	-3.36327844617889	-3.20748306206997	-2.43961525355603	-2.24929718791224	-2.58070171719034	-2.20573189187543	4.65358261902834	35.8403225035818	7.48283199045512e-07	2.96730643757603e-06
CAGL0F03927g	-2.77286318942868	-5.58379582092361	-6.41633300072857	-5.41308842790371	-4.13352255436475	-3.25756499429312	-2.92700322117508	-3.12828020938152	-2.37716506134387	6.71005498063125	35.8318377850661	7.49202917820146e-07	2.96730643757603e-06
