genesymbol	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0G03025g	0.0048178626333355	-0.158779452712455	-0.233229641039134	-0.166168850114374	-0.239432358062794	0.0881142914866446	0.217510139014646	0.142959367059881	0.390730418993186	6.18723422435363	6.38202772717168	0.00529304591021291	0.0069255424493788
CAGL0H01639g	0.540107945317025	0.817849356948605	0.82735933572532	0.845776055422503	0.735611736761095	0.877946055689073	0.657334074896484	0.62705700523157	0.751431763536646	5.85870219531471	6.36760487589518	0.00533566806096187	0.00697956579188791
CAGL0M11220g	0.404187625865744	0.764342018208132	0.650533048466642	0.628532202160663	0.491030080591161	0.531946319920314	0.522980719037192	0.305353382667111	0.441313509201861	6.21911382452198	6.35032908298827	0.00538727133794075	0.00704530738299272
CAGL0M03267g	-0.658949623343621	-1.37026718220314	-1.99558352968541	-1.49696768987024	-1.55898338287598	-1.33166579084888	-1.09643065157072	-1.48030461540304	-0.893567118711441	2.60571274494905	6.34898730068376	0.005391304596505	0.00704882106960631
CAGL0K03597g	0.16945903898648	0.521927459528514	0.269688663753528	0.300782908957244	0.145162405912005	0.106897407378044	-0.0017401890396842	0.00230533435320002	-0.227881686116405	6.56442667762921	6.34749818224737	0.00539578502736523	0.00705291750767965
CAGL0I01958g	0.00409237830965203	-0.563929901073339	-1.21262510117278	-0.685156896515799	-0.563331739234444	-0.723157807573211	-0.854644352339673	-0.506582059989615	-0.665466687149915	4.4652509769202	6.33363928331187	0.00543770110174318	0.00710593241827896
CAGL0M12276g	0.0452126737424816	0.288600544257106	0.517409379627917	0.543411687749639	0.464814587738146	0.320393887220985	0.377279772137366	0.340126226406535	0.150495513176437	5.62357911530332	6.33202211351653	0.00544261794148784	0.00711058271117765
CAGL0A02233g	-1.77644890825573	0.333494068862311	0.8143024607801	0.702857504088819	0.283506476393026	-0.47087596350104	-0.713633774379205	-1.10736388270591	-1.55247595775507	5.08479904349578	6.32923229225892	0.00545111280915996	0.00711990408082645
CAGL0I03388g	-0.468471077572653	-0.635449430240339	-0.707383112094683	-0.833218503129832	-0.879329479532412	-0.916269888725383	-0.776593070022182	-0.686092453735418	-0.811585549951993	5.3348712985386	6.32597626735729	0.00546104762097851	0.00713110109648852
CAGL0I08701g	0.314144456870177	0.573478285263727	0.508589069969617	0.490705864473103	0.379947067750372	0.255539839122746	0.342725238538962	0.41374788266073	0.0868908642510728	7.28413668035396	6.31908855918001	0.00548213602807919	0.00715685339326547
CAGL0M02453g	0.268030077021591	0.457821330997706	0.495457033329054	0.688363328004357	0.754640096277474	0.984652946932592	0.871651269460975	0.840769033013858	0.880591407095575	5.70068020804208	6.31259937300378	0.00550209482750673	0.00718111852954318
CAGL0C01991g	0.499141961686176	0.88525734390053	0.782630657244215	0.823695169394608	0.979325857644096	0.643415406955619	0.794185277858715	1.09479867132064	0.754700734024855	4.91203055337977	6.31103718701328	0.0055069128200813	0.00718561530735932
CAGL0F09141g	-0.964480503772566	3.00339662920338	1.2944286150531	1.60039596238643	2.00982984158583	0.810253324496519	1.11051599186121	2.81754805458664	1.22683161629823	-1.47579801656642	6.3092168107744	0.00551253357308039	0.00719115705334559
CAGL0G01925g	0.243771937198749	0.382319472083151	0.378415351199833	0.380024144402034	-0.147947645568831	-0.118764068790261	-0.438467633695991	-0.432742823274916	-0.251358259738741	6.07029557883835	6.30404997381951	0.00552852515277869	0.00721022151838477
CAGL0L01859g	0.204475747816385	0.118935315011064	-0.00380745100284141	-0.0210070563790694	-0.21917076976568	-0.10436295050075	-0.38535690451451	-0.490586875690677	-0.175478986621121	6.38252739984137	6.28769409992341	0.00557952014184996	0.00727491605045692
CAGL0B02651g	2.48072090589784	3.24377648091905	3.67403103925158	3.72799759436485	4.11968048523548	3.70245441182078	4.08577473436522	4.03447425061141	3.27094282861951	0.390851736392336	6.28604057607097	0.00558470730156227	0.0072798662160554
CAGL0J07568g	-0.0752195009189389	0.209083661054811	0.196867889744572	0.0956947377885502	-0.209686937186339	-0.36210668265484	-0.219463091909139	-0.107326570366659	-0.45407856394481	9.15686945901816	6.28333143895132	0.00559321862178809	0.00728914600076192
CAGL0L00583g	0.41249018593869	0.803296580197344	0.869332931789351	0.76295777825174	0.87955658402754	0.90001033936674	0.852759721567951	0.68710372203636	0.999149277302259	5.29287592089716	6.27907300339517	0.00560662925811752	0.00730374824817475
CAGL0H06413g	0.458553592566386	0.59808897315035	0.629083250523543	0.505452314319742	0.793924264685502	0.57962262384509	1.10612573367156	1.37694153311952	0.936577271594524	8.91911490097683	6.27888767049217	0.0056072137935844	0.00730374824817475
CAGL0L12254g	0.155491012359479	1.02616676523302	1.00018299448362	0.816142791804865	0.897853324543181	0.699793325332001	0.999357763415462	1.21422332613051	0.80684563161174	7.31616847597303	6.27635383810955	0.00561521286816208	0.0073123481007036
CAGL0F05225g	-0.583887838595529	-0.576642341437691	-0.642721905022069	-0.228760810984924	0.204138555028957	0.395506779105316	0.364872334797856	0.157913424154011	0.531943596548605	3.91300110968616	6.27404520358606	0.00562251308417911	0.00732003382135729
CAGL0A00605g	0.294285622932505	0.30624407478608	0.16527007410322	0.378024001317248	0.34092838366627	0.27327194972792	0.446592940118069	0.540911402386924	0.395145839031051	5.85830375067039	6.27180670373603	0.00562960253547072	0.00732744139064874
CAGL0F08151g	-0.503390772797482	-0.846229463032108	-1.26424659745936	-1.06494482552274	-0.928663882259891	-0.923802065225227	-0.95373272712338	-1.01399972850328	-0.55278409686224	6.06905872038323	6.26849676489902	0.00564010520029601	0.00733819920909547
CAGL0G00864r	-0.260361685528364	-1.76123278684162	-2.78954874876386	-3.7458818685798	-2.48027903464826	-1.01861548123205	-1.03362284055449	-1.14910575874825	-0.0833608791498186	1.42978100333506	6.26831860831876	0.00564067117810892	0.00733819920909547
CAGL0G09086g	-8.88178419700125e-16	3.99680288865056e-15	1.91584090791074	3.61866307379295	3.58184428309971	3.74071540153754	4.22295031445074	3.69215374857126	1.47695367848713	-1.63167658351486	6.2656877240982	0.00564903715513499	0.00734725702040539
