genesymbol3.150m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01243g	5.55356849417707	11.909706760598	51.0718611421962	1.73407565746429e-12	9.07788606682558e-09	18.7862605226416
CAGL0G06050g	10.7577377560659	7.77283818243811	43.4698760665238	7.45731425892049e-12	1.14003559618012e-08	17.6401808709273
CAGL0F05071g	4.01254172863876	6.97149328620044	42.3424137757039	9.4580841423766e-12	1.14003559618012e-08	17.4436051677263
CAGL0B02475g	10.2037252295755	11.7221299034515	41.2579184955546	1.19589395300663e-11	1.14003559618012e-08	17.247035233577
CAGL0A01650g	4.99518378439712	9.3385542249989	41.1357395528773	1.2283931248276e-11	1.14003559618012e-08	17.2244126749434
CAGL0K07546g	10.1032751318687	10.9560755763681	40.022181275186	1.57425685056775e-11	1.14003559618012e-08	17.0136078855024
CAGL0G05269g	9.07715715419121	7.24372590531215	39.7551684608063	1.67243944537568e-11	1.14003559618012e-08	16.9617928021428
CAGL0F08261g	7.11876086405637	7.29769393373498	39.1143141419444	1.9370091867269e-11	1.14003559618012e-08	16.8353650017828
CAGL0G02563g	7.81104730939821	3.8236169928252	39.0633894966079	1.95994658369075e-11	1.14003559618012e-08	16.8251914502443
CAGL0K11275g	3.58333100000023	7.18963952034868	35.7677257863239	4.34465188194091e-11	2.27442526019607e-08	16.1242212679805
CAGL0H08844g	4.96351130661571	9.27469390869057	34.7407394967323	5.65119697591676e-11	2.68945601535675e-08	15.8873108476813
CAGL0C05027g	6.56885216492956	7.15898143172217	33.7643223223919	7.30859980277231e-11	2.95438679635563e-08	15.6531345105908
CAGL0G02717g	5.33241609358768	6.90017444643789	33.7500181154436	7.33658612275514e-11	2.95438679635563e-08	15.6496367871357
CAGL0L04378g	6.16090643276375	8.46054625559588	33.2796301187468	8.32658539211337e-11	3.11354818055097e-08	15.5335063777496
CAGL0H08888g	5.04928463914924	6.88372085226121	32.5124852837267	1.02750656855447e-10	3.58599792425511e-08	15.3393832571877
CAGL0L02827g	3.8905602809479	7.41491254051882	31.9430120929836	1.20491043886857e-10	3.9423163421731e-08	15.1913566753924
CAGL0E01881g	4.66744645454604	8.72634330301846	31.2400662081118	1.4724135146582e-10	4.17533866658762e-08	15.0038404274275
CAGL0C02321g	4.09109769591719	8.46425878486022	31.2264474738196	1.47820862022534e-10	4.17533866658762e-08	15.0001538782556
CAGL0J02552g	6.49669498067194	5.61660188542963	31.1404214173321	1.51540467364212e-10	4.17533866658762e-08	14.9768190184938
CAGL0K07524g	3.02812830685555	9.47784639616441	30.4048959269735	1.87941659944433e-10	4.79091662809479e-08	14.7738736402382
CAGL0G06952g	2.69381545328323	9.42475057253091	30.3295842702643	1.92185767316124e-10	4.79091662809479e-08	14.7527406491769
