genesymbol3.60m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01243g	5.11996289072682	11.909706760598	57.6662877541079	5.77126713956247e-13	2.82119280074231e-09	20.0128275878783
CAGL0K07546g	10.2409877048271	10.9560755763681	49.6850863731128	2.22500643121132e-12	2.82119280074231e-09	18.9198949358062
CAGL0G06050g	9.91452272603357	7.77283818243811	49.0664786316892	2.49227919999104e-12	2.82119280074231e-09	18.8241415620405
CAGL0F05071g	3.78474731658655	6.97149328620044	48.9146070679851	2.56322030071173e-12	2.82119280074231e-09	18.8003624048779
CAGL0F08261g	7.22877547388992	7.29769393373498	48.6453889831365	2.69454899784366e-12	2.82119280074231e-09	18.7579434307342
CAGL0B02475g	9.40866299818463	11.7221299034515	46.5931530537753	3.98046468985414e-12	2.93885788400122e-09	18.4230084427292
CAGL0G05269g	8.6683754034835	7.24372590531215	46.4972303236881	4.0554030621495e-12	2.93885788400122e-09	18.406835886639
CAGL0A01650g	4.55844348962001	9.3385542249989	45.9758791820846	4.49109132225592e-12	2.93885788400122e-09	18.3180978060198
CAGL0H08844g	4.99327636837496	9.27469390869057	42.8036965737461	8.57524735436013e-12	4.98793554445281e-09	17.7459447526709
CAGL0C05027g	6.51078787940973	7.15898143172217	40.9871503991788	1.26924496365442e-11	6.6444973847309e-09	17.391294172841
CAGL0K11275g	3.26803874171846	7.18963952034868	39.9518805445873	1.599471540461e-11	7.61203046755758e-09	17.1795520936362
CAGL0L04378g	5.97410864374719	8.46054625559588	39.5232476370832	1.76325113353406e-11	7.68418127580808e-09	17.0897335192533
CAGL0G02563g	6.35895319724483	3.8236169928252	38.9486055717007	2.01276064220281e-11	7.68418127580808e-09	16.96727841934
CAGL0G02717g	5.01300781008481	6.90017444643789	38.8592120863112	2.05498639658669e-11	7.68418127580808e-09	16.9480150236871
CAGL0G06952g	2.77659176848928	9.42475057253091	38.2874355566626	2.34948122082425e-11	8.04346513813254e-09	16.8234138319382
CAGL0G08734g	-5.00680451502525	5.66025026002372	-38.0959130978819	2.458365658264e-11	8.04346513813254e-09	16.781132710049
CAGL0M06303g	-4.00388547770907	7.41342634366286	-37.3805254554163	2.91750050434315e-11	8.98418537660964e-09	16.620724816555
CAGL0H09262g	3.26098985823238	3.48548337468082	36.4201881640321	3.6904571092392e-11	1.05322871911211e-08	16.3990557699382
CAGL0C02321g	3.88080179370832	8.46425878486022	36.2785416018069	3.82260662141932e-11	1.05322871911211e-08	16.365726583006
CAGL0D00990g	4.43721039547678	7.53230521736953	35.8957666870542	4.20674508471271e-11	1.10111552592355e-08	16.2748244755319
CAGL0L02827g	3.52243283734288	7.41491254051882	35.4202863458737	4.74480921749519e-11	1.14822425158766e-08	16.1601776528533
CAGL0D02090g	-5.27817990891559	8.11414720619714	-35.3172996979393	4.87115500809151e-11	1.14822425158766e-08	16.1350890914393
CAGL0M10351g	2.65625523869965	8.1034170400022	35.01977022349	5.25763251152743e-11	1.14822425158766e-08	16.0620867002861
CAGL0G04829g	3.07622638843189	7.19428624138462	35.0150253424268	5.26406533679157e-11	1.14822425158766e-08	16.0609161683209
CAGL0J02552g	5.91800691340209	5.61660188542963	34.7418632133069	5.64954787988652e-11	1.18301532604824e-08	15.9931909250711
CAGL0L00957g	3.35646831692976	7.75312454741285	34.4706036941476	6.06357582962423e-11	1.22087767184934e-08	15.925273624053
CAGL0E06072g	3.24708350724876	6.92527571291407	34.1808465399802	6.54339106042814e-11	1.2686908222719e-08	15.8519832858942
CAGL0E01881g	4.1528041424024	8.72634330301846	34.042361548769	6.78746928702951e-11	1.26901434705712e-08	15.816681293211
CAGL0M05951g	3.76126583765617	6.12154782172195	33.6023460680612	7.63256124788509e-11	1.37780890112684e-08	15.7033196991581
CAGL0E04708g	2.57223272937178	6.04048131047423	32.9716512938623	9.05473663547447e-11	1.54912957767323e-08	15.5375923983039
CAGL0G02849g	5.46640054465468	7.61509277401541	32.9240525795927	9.17345117628846e-11	1.54912957767323e-08	15.5249267327905
CAGL0H08888g	4.11764874312552	6.88372085226121	32.4724637702507	1.0389787102379e-10	1.60904178402438e-08	15.4036342761039
CAGL0J04884g	5.47316542279393	6.82683101022246	32.4559510884541	1.04375340346361e-10	1.60904178402438e-08	15.39916007069
CAGL0G05698g	3.82576913867035	7.53892407562087	32.4515437407317	1.04503191321545e-10	1.60904178402438e-08	15.3979654046051
CAGL0E05148g	3.67912877812931	9.07650285060256	31.8249924842283	1.24578058429337e-10	1.84352905390749e-08	15.2260903863085
CAGL0E02651g	3.63518291140791	6.27474356455363	31.703424384415	1.28949389359321e-10	1.84352905390749e-08	15.1922656532732
CAGL0H02101g	6.62946551347433	8.73203159276863	31.6668617317987	1.3029718241562e-10	1.84352905390749e-08	15.1820618354251
CAGL0K01551g	-4.99003152448512	4.68538759969508	-31.3630451686304	1.4212091817035e-10	1.95790264900469e-08	15.0967186737388
CAGL0E06380g	4.66127674024194	7.62655933965099	30.9293106861842	1.61116290442687e-10	2.13620696762415e-08	14.9731387168573
CAGL0K10824g	5.04319359517243	6.37282912701578	30.8846914130568	1.63224983199553e-10	2.13620696762415e-08	14.9603077044406
CAGL0G08173g	-4.19509514997828	9.66949351179678	-30.702830439754	1.72142009082236e-10	2.19795955498904e-08	14.9077797463027
CAGL0B03927g	-2.62670559587886	6.11056546068446	-30.4957617408359	1.82958794223291e-10	2.23638495296677e-08	14.8475156450372
CAGL0F04631g	11.9260378656174	5.87567534924741	30.4821571562858	1.83695421160594e-10	2.23638495296677e-08	14.8435391357166
CAGL0G00154g	-3.21283944378334	7.41491129932412	-30.1883489435609	2.00434540146468e-10	2.30161115542947e-08	14.7571413205274
CAGL0K07458g	3.4892161955972	8.23165897120506	30.1732019729486	2.01342255910893e-10	2.30161115542947e-08	14.7526600503516
CAGL0G02079g	-5.38017853772789	8.93827934635575	-30.0557543890353	2.0853731069514e-10	2.30161115542947e-08	14.7178218400213
CAGL0C04543g	3.99209580063492	7.84414052078521	30.0258543017625	2.10414274133383e-10	2.30161115542947e-08	14.7089268032876
CAGL0J07040g	2.80491899431486	9.2442323848056	30.016015678255	2.11035979867458e-10	2.30161115542947e-08	14.7059975908872
CAGL0A03388g	-3.48614815587598	9.68056361817483	-29.8744745313655	2.20209228569287e-10	2.35264349298004e-08	14.6637305853281
CAGL0K08932g	2.5309912221676	5.73328115574041	29.7279813771254	2.30171617521399e-10	2.40989683544905e-08	14.6197340700337
CAGL0F03113g	2.42061063425617	7.45178818386546	29.6049507621162	2.38925369036857e-10	2.45249864099598e-08	14.5825853718711
CAGL0M12408g	-6.38904195236863	7.11711262052432	-29.437005029148	2.51476734522051e-10	2.46166555034406e-08	14.5315791732496
CAGL0M12969g	3.85783730053084	6.88145757430934	29.4186310824917	2.52893706329823e-10	2.46166555034406e-08	14.5259780514903
CAGL0K04301g	4.81387384568344	5.43813920692201	29.3682089001082	2.56827891119303e-10	2.46166555034406e-08	14.5105861151099
CAGL0M06259g	2.06461046963415	7.56829406256613	29.3320496811079	2.59690997129154e-10	2.46166555034406e-08	14.4995289176382
CAGL0I05896g	2.7926622417867	8.05951192215204	29.2867238909784	2.63330030218276e-10	2.46166555034406e-08	14.4856459547187
CAGL0M13541g	2.68144693839733	8.2567364777529	29.0165685731824	2.86228481284228e-10	2.62878263074199e-08	14.4023715749646
CAGL0H02893g	3.50549364566225	7.75049790245918	28.8474327514686	3.01684510348475e-10	2.72296277874874e-08	14.3497712858149
CAGL0F07117g	3.77149281634218	7.38951537810682	28.7031529621415	3.15602630359387e-10	2.80030469479897e-08	14.3046146934154
CAGL0H03311g	4.47531377959398	3.19726310849632	28.5275141346167	3.33515653296298e-10	2.90210503788122e-08	14.2492837772397
CAGL0K04587g	-4.98087666305738	5.55447417602714	-28.4836514675018	3.38163146725414e-10	2.90210503788122e-08	14.2354037716834
CAGL0H08261g	4.13899029442635	5.61061842991491	28.2830308290364	3.60355682900183e-10	3.042680645133e-08	14.1715996998701
CAGL0L05258g	3.75069693455533	6.30287432713697	28.1629645723539	3.74407217275745e-10	3.11114568641036e-08	14.1331620556035
CAGL0L13156g	-5.68058101915798	2.75325865863286	-28.06147815212	3.86759023887015e-10	3.13407659435697e-08	14.1005236648858
CAGL0F07777g	6.33671854619782	9.61440783434285	28.042325785073	3.89140360330856e-10	3.13407659435697e-08	14.0943488212414
CAGL0D05082g	3.98722610221563	8.85710277980773	27.9401170956257	4.02126722941938e-10	3.15800504353878e-08	14.0613131539129
CAGL0J02508g	5.24360101499858	8.36794952914437	27.9243201698662	4.04176385706014e-10	3.15800504353878e-08	14.0561948041515
CAGL0A00341g	4.08107644385647	6.18396937946972	27.8244152607913	4.1741057031403e-10	3.21344755234404e-08	14.0237467961883
CAGL0B04257g	-4.78730597683977	9.17771546801403	-27.6279624549641	4.448589119966e-10	3.37512522362638e-08	13.959546062464
CAGL0F03707g	2.52583197363341	7.15264881081754	27.5101925943119	4.62269986825324e-10	3.45711911575796e-08	13.9208055006542
CAGL0J04004g	6.99815087220148	8.42073684552645	27.3624309448815	4.85192724740035e-10	3.53693172008436e-08	13.8719276714665
CAGL0K07524g	2.22440696395765	9.47784639616441	27.3545215955493	4.86454792447133e-10	3.53693172008436e-08	13.8693027813798
CAGL0E05984g	10.3434083487274	9.37332646874606	27.1832598948169	5.14695282327902e-10	3.69099973011859e-08	13.8122507147865
CAGL0E01463g	-2.30677675946049	8.11025899583637	-27.000622776201	5.46830404379787e-10	3.82242260773223e-08	13.7509523208439
CAGL0H02387g	5.71443981473815	9.31005789972182	26.9949869420626	5.47856806733844e-10	3.82242260773223e-08	13.7490532081706
CAGL0A01606g	3.74571073464041	4.97250492715004	26.9564825152562	5.54926682306875e-10	3.82242260773223e-08	13.7360661601258
CAGL0J00803g	2.44608679378792	8.16128845585355	26.862599469706	5.72592582046033e-10	3.8928859311831e-08	13.7043113191587
CAGL0L02717g	3.20154404286931	7.6625346857445	26.6846180357004	6.07820800133883e-10	4.07941267782164e-08	13.6437610824939
CAGL0K03135g	-6.33131763216398	7.31796735662827	-26.5542037871139	6.35159667305566e-10	4.20893779537296e-08	13.5990997716814
CAGL0L04510g	-3.90762343402117	7.28389095884686	-26.4562948910817	6.56580771783864e-10	4.28936546377243e-08	13.5654053930899
CAGL0B04367g	2.63596602979883	6.4046311838489	26.4246079658962	6.63684054566507e-10	4.28936546377243e-08	13.5544702034927
CAGL0C02739g	5.01143039246692	9.51045939904129	26.329104382631	6.85613778805098e-10	4.31889975747908e-08	13.5214212876362
CAGL0H00528g	3.38219676840235	6.41245062707142	26.3060390173437	6.91029762736706e-10	4.31889975747908e-08	13.5134190880648
CAGL0L04598g	5.05023394162644	9.41133873085626	26.2976811411361	6.93003972546787e-10	4.31889975747908e-08	13.5105174721002
CAGL0I07865g	5.74061377773493	8.58668508588607	26.2328752248176	7.0852571915337e-10	4.36368487031517e-08	13.4879830634165
CAGL0F00605g	4.38351022864773	10.8932012796401	25.9749586381854	7.74234413328428e-10	4.7129269229934e-08	13.3976693396938
CAGL0F02937g	-6.64801597966999	7.7153841737146	-25.7133119600126	8.47870673100871e-10	5.06431938135089e-08	13.3050053857388
CAGL0H06699g	3.21166648620547	8.213418764474	25.7001711382508	8.51768560903491e-10	5.06431938135089e-08	13.3003233920126
CAGL0G09713g	-3.87394020201205	8.39060917145363	-25.6532191458847	8.65858838222131e-10	5.06431938135089e-08	13.2835725769127
CAGL0I03630g	-3.82520202587331	4.61550049577954	-25.6374248757975	8.70656627166342e-10	5.06431938135089e-08	13.2779299583536
CAGL0J07238g	-6.10217718618082	8.36986991728571	-25.5254518838566	9.05527795417364e-10	5.18730317501593e-08	13.237814008956
CAGL0L05456g	2.1297725532345	9.1811185821443	25.5063876353133	9.11617749955043e-10	5.18730317501593e-08	13.2309642034628
CAGL0F03267g	2.54792264069583	7.5553098688846	25.4386246302991	9.33634607183056e-10	5.20238657731175e-08	13.2065701164337
CAGL0D06600g	4.05704198817375	8.67520020537208	25.4296298919342	9.36601146946594e-10	5.20238657731175e-08	13.2033265894241
CAGL0I01980g	2.81328618082726	8.0736786128484	25.3823894448101	9.52354014217288e-10	5.20238657731175e-08	13.1862703300039
CAGL0J00649g	-3.33498625311749	6.779530226702	-25.3774461562917	9.54019315037112e-10	5.20238657731175e-08	13.1844834815008
CAGL0E03938g	-7.20326364062159	6.48184308311939	-25.253708827103	9.96774288630053e-10	5.32460551120237e-08	13.1396282505193
CAGL0I03366g	-2.35460087314431	5.75537718667452	-25.1192982611512	1.04563973331614e-09	5.48811546091777e-08	13.090623340704
CAGL0E05962g	3.35905393320144	5.37023550160629	25.1120465968746	1.04835061335583e-09	5.48811546091777e-08	13.0879710870012
CAGL0M13981g	2.549353124852	7.22115205380821	25.0529110059975	1.07075031751015e-09	5.48926914465802e-08	13.0663104847014
CAGL0L03674g	2.00371287888415	6.57894144457847	25.039208698141	1.07601594333023e-09	5.48926914465802e-08	13.0612833283663
CAGL0K00671g	-7.11971575082621	3.19305060884237	-25.028817939653	1.08002812206261e-09	5.48926914465802e-08	13.0574690707143
CAGL0E01859g	4.01650743571026	6.42606513228627	25.0012760432703	1.09074333829906e-09	5.49042439999573e-08	13.0473503548167
CAGL0K01859g	-5.38548767930309	6.15108121610243	-24.9596880231283	1.10714726024274e-09	5.51991991178166e-08	13.0320475022858
CAGL0K07678g	3.64377618952861	4.90368131078411	24.8571059158862	1.14879137989758e-09	5.67351214506024e-08	12.9941787538863
CAGL0G01738g	7.26324826983106	8.85741896953003	24.7974544680279	1.17380409680774e-09	5.74286396896124e-08	12.9720776482911
CAGL0G09977g	3.98248059624253	9.87648441748947	24.7525030578057	1.19305185728161e-09	5.75258157642128e-08	12.9553836815309
