gene.names	S3	S4	S7	S8
CAGL0B02321g	8.42881613231822	8.38900083724725	7.95889718606824	8.10284594485154
CAGL0B02343g	2.58083782765411	3.17903921830046	2.42595884450573	1.54844307304786
CAGL0B02365g	6.24087446470425	6.44399771132067	6.62467302068323	6.17790560878837
CAGL0B02387g	3.96248262608642	3.72436511318402	5.09327018467831	5.26173324362885
CAGL0B02409g	6.16779005650369	6.18408962026432	6.38536102822017	6.04286568741651
CAGL0B02431g	6.72131760245109	6.46113043888422	8.14470737964395	7.91890420532925
CAGL0B02453g	5.91693530673183	5.97575782215477	7.40095494478436	7.34096635875269
CAGL0B02475g	3.11291998250177	3.39412444855637	12.0802807723459	11.8650959909878
CAGL0B02497g	8.30890272326116	8.33426172319088	8.42350407833348	7.93391678999482
CAGL0B02519g	7.76193074374529	7.85312062016238	7.44518390674359	7.33846124085629
CAGL0B02541g	7.08678671657682	7.0260390638949	6.87369047307187	6.97223247046628
CAGL0B02563g	6.21519581816501	6.40557385003089	8.07510640913255	7.78548608683843
CAGL0B02585g	8.9554859420403	8.81994362798807	7.77011720278594	8.01144767087849
CAGL0B02607g	8.10028765464583	8.03460268557057	7.09156317285121	7.21825404127491
CAGL0B02629g	6.68436327106001	6.55986205454122	6.80293863717901	6.70297901429451
CAGL0B02651g	-3.15475877051776	-1.64249163686431	-1.11073832654777	0.602788650376443
CAGL0B02673g	5.86503905688112	5.95655615374085	5.33183567276553	5.8095576678354
CAGL0B02695g	5.49853979341329	5.61460371782947	6.43006327796081	6.48019652639751
CAGL0B02717g	10.1532213503245	10.2981016873703	10.1598444853213	10.0927745791114
CAGL0B02739g	5.76239600611836	5.92232572291057	6.24562812362428	6.16099217326425
CAGL0B02755g	4.63974441418227	4.51008792604478	5.95881649502421	5.66509099040097
CAGL0B02761g	5.05315643985143	4.94948235750277	5.25440552136564	5.14042620921146
CAGL0B02772g	4.6551053229573	5.16556202174488	5.37515562892067	5.45913118805277
CAGL0B02794g	7.50223424341321	7.3056566592816	7.36456880256178	7.20731203040591
CAGL0B02816g	5.39255495585815	5.25472577968419	5.10801876361322	5.43118901471619
CAGL0B02838g	5.25818303935294	5.43895559999016	5.91755140823687	5.58281661396338
CAGL0B02860g	5.19652915128179	5.18218888325042	6.73330148559106	6.66749134472467
CAGL0B02882g	0.532575515657045	0.204607480278279	3.87472907919395	3.60963851388562
CAGL0B02904g	-0.630450033894426	0.444020586428941	1.45579294318422	0.307284448438041
CAGL0B02926g	-0.131598233819325	-1.64249163686431	7.27265037566866	7.5546080307434
CAGL0B02948g	2.29733563424668	2.6193643057511	3.74863392314112	3.39497749819872
CAGL0B02970g	4.6242181903696	3.83364656633926	7.1245765419582	6.90271534966134
CAGL0B02981g	5.60519903114207	5.20677531297118	6.59618798144372	6.58112567960274
CAGL0B03014g	5.85841877260345	5.63286285877122	6.9162107785914	6.8890856049052
CAGL0B03047g	10.9589205879296	10.7996103968654	9.93533601455498	9.84131715134808
CAGL0B03069g	9.29216210373209	9.2158394004142	10.7170681645624	10.5016303867307
CAGL0B03091g	5.9359250076371	5.86683833154275	5.37515562892067	5.24042261215391
CAGL0B03113g	5.3647958694556	5.53916457407052	5.56883658599049	5.46832626288109
CAGL0B03135r	-3.15475877051776	-3.15475877051776	-3.15475877051776	-3.15475877051776
CAGL0B03179g	6.45786048368089	6.37335669594205	6.39741771197188	6.48473474546417
CAGL0B03201g	4.23200217531686	4.29762646711019	6.36708494932919	6.23289318743151
CAGL0B03223g	-1.39923509755722	-1.64249163686431	-1.7975075214167	-3.15475877051776
CAGL0B03245g	8.93675364491552	8.83579366168513	8.49888062946727	8.62269409181837
CAGL0B03267g	6.30557551278709	6.32551268890879	6.89723156604302	6.74141224336099
CAGL0B03289g	5.72649206832855	5.76013664229281	6.19817125536306	6.16665204534915
CAGL0B03311g	3.31984075952756	3.76907584298613	4.55081458753437	4.17901278414035
CAGL0B03333g	7.19057910462925	7.10446086337657	6.80293863717901	6.93291947540915
CAGL0B03355g	5.10999825741516	5.17389940515099	5.32553953960376	5.28273366385156
CAGL0B03377g	5.66711987223148	5.68629336722771	5.56883658599049	5.727690886944
CAGL0B03399g	7.19321214113851	7.18090844535841	7.24121931746088	7.428370423144
CAGL0B03421g	5.89122051902251	6.0134110597547	5.66672228314557	5.52229897330318
CAGL0B03443g	5.24808863015019	5.27811631628209	6.10933796777572	6.14387809855755
CAGL0B03465g	4.01104580710946	4.17006842393468	5.81790815379615	5.53110133156949
CAGL0B03487g	12.7364866368505	12.7182843208742	11.6466331237444	11.8858321744429
CAGL0B03509g	7.76015603796519	7.73412821427633	8.53275248129747	8.55633460240813
CAGL0B03520r	0.238376534629686	-1.64249163686431	-0.0156447074691969	0.307284448438041
CAGL0B03531g	2.44603938756132	2.35182761784619	3.33760805562211	3.54157296121984
CAGL0B03553g	7.98193420976152	7.89910520530472	7.87731055204674	7.86422418259224
CAGL0B03575g	6.48819573969798	6.55667757568252	6.71414954474553	6.53810822727535
CAGL0B03597g	6.78204593745492	6.79422879605463	7.11548168215617	6.76771900562755
CAGL0B03608g	4.49359909715541	4.68360869296739	5.29363999901232	5.16325428236467
CAGL0B03619g	5.9359250076371	5.94685862398689	7.83914583575667	7.62001416949803
CAGL0B03641g	5.84508636294299	6.03645486711356	5.70602982195229	5.80230425480907
CAGL0B03663g	4.63974441418227	4.34269567434702	4.00651314635212	2.44796740308589
CAGL0B03685g	9.49943798287133	9.30203876607945	10.206203511529	10.0451765004351
CAGL0B03707g	6.26109329543024	6.42665907631687	5.63142710855401	5.92759320949051
CAGL0B03729r	-3.15475877051776	-3.15475877051776	-3.15475877051776	-3.15475877051776
CAGL0B03773g	8.14585368651025	8.12552587415093	7.79311543878417	7.80194496539129
CAGL0B03795g	8.85097987860955	8.84495973103661	7.4581924431139	7.51078033522867
CAGL0B03817g	5.19652915128179	5.18218888325042	7.49792922921395	7.20456351132787
CAGL0B03839g	4.59265529091123	4.18664372754771	5.47524386389717	5.20785455470537
CAGL0B03855g	6.23577516977968	6.16748477653208	6.28185049815478	6.28065147750227
CAGL0B03861g	4.27240467859101	4.69523966138166	3.72968577982157	3.57600711221163
CAGL0B03883g	6.45786048368089	6.66415289560033	6.49882513236224	6.42931056565404
CAGL0B03899g	2.76200958898505	2.6193643057511	3.83981229211808	3.57600711221163
