genesymbol4	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0E04708g	-7.1785664619525	20.9855766032452	-4.75529387278337	0.0248707017856766	0.215071988393911	-2.9641585342299
CAGL0G03421g	20.3784663008751	48.3775431671285	4.74063612033096	0.0250526742352394	0.215935166730781	-2.96783269813393
CAGL0F00517g	-68.0883240633785	320.660439489598	-4.74034597830816	0.025056294479296	0.215935166730781	-2.96790564666459
CAGL0L03762g	-4.03351548224645	24.489212072388	-4.73458829043967	0.0251282829563489	0.215935166730781	-2.96935504102354
CAGL0J11594g	10.9742431014148	81.639565306719	4.73401259527188	0.0251354963030137	0.215935166730781	-2.96950014809878
CAGL0A02189g	133.020933990536	595.931841605313	4.72694022577838	0.0252243413067601	0.215935166730781	-2.97128554465399
CAGL0L05676g	-102.532074502078	178.421131796104	-4.72576952153362	0.0252390890746353	0.215935166730781	-2.97158157956805
CAGL0F05863g	-386.270095665582	502.701811444183	-4.72564336528376	0.0252406790066007	0.215935166730781	-2.97161348897764
CAGL0B02563g	-78.3881022662514	96.9580729156073	-4.71754486210928	0.0253430283365496	0.216479761134344	-2.97366531120624
CAGL0M12551g	-7.67968320854066	5.2664800443867	-4.71072863671692	0.025429608817048	0.216617021597784	-2.97539749350376
CAGL0B03289g	-6.57608039639471	51.4255464635331	-4.70824393408026	0.0254612695442677	0.216617021597784	-2.97603011526417
CAGL0J06314g	-56.0269716727999	192.39101170245	-4.70234679399447	0.0255366267005019	0.216617021597784	-2.97753412480874
CAGL0D00990g	-5.84930286878175	18.0355301178788	-4.69710752966797	0.0256038310252561	0.216617021597784	-2.97887337601103
CAGL0F08305g	-17.4602656286773	62.8232091284301	-4.69340557897524	0.0256514607857547	0.216617021597784	-2.97982138287697
CAGL0F01815g	-10.8050059447103	27.1063274675555	-4.69318647521483	0.0256542835660505	0.216617021597784	-2.97987753637084
CAGL0H05533g	58.9313805705345	174.642188228039	4.69209154351966	0.0256683962161067	0.216617021597784	-2.98015822834452
CAGL0F03883g	24.9219562379384	204.784227330719	4.68826741285241	0.025717768351349	0.216617021597784	-2.98113954701452
CAGL0L06028g	-42.9459777791862	115.705094123336	-4.68823462050326	0.0257181922794351	0.216617021597784	-2.98114796853302
CAGL0E01991g	629.586796084695	2620.736686032	4.6847736582025	0.0257629877097538	0.216617021597784	-2.98203742222577
CAGL0E02805g	-6.06873904404399	55.3824355578848	-4.6830778530424	0.0257849752250445	0.216617021597784	-2.9824736947678
CAGL0K00803g	-106.742289718368	409.6281434547	-4.6766451247381	0.0258686125068656	0.216993833547096	-2.98413135450531
CAGL0D03300g	24.578157498922	118.092580075748	4.66353788721565	0.0260401721449109	0.217934672295405	-2.98752244042576
CAGL0L08712g	-9.39469081059465	24.7044082659466	-4.66213112940737	0.0260586766337133	0.217934672295405	-2.98788747148614
CAGL0C01199g	23.5921539696432	94.2782868616594	4.65283089948434	0.0261814613243175	0.218634740462025	-2.99030600228276
CAGL0G01562g	-5.84665583519128	12.5217535671098	-4.64705633901467	0.0262580937595647	0.218947890588323	-2.99181229975192
CAGL0K09834g	17.5681071423015	156.847432958035	4.64098260831915	0.0263390247333397	0.219295897891422	-2.99340046725972
CAGL0C00363g	-20.7730979577635	124.549378561965	-4.63612454978959	0.0264040006394692	0.219349351354285	-2.99467359391511
CAGL0K04235g	-95.4057909136565	287.705434463605	-4.63181454590495	0.0264618283261977	0.219349351354285	-2.99580520891513
CAGL0L04928g	31.4223032889815	214.969119738595	4.62978885304174	0.0264890665019283	0.219349351354285	-2.99633775350847
CAGL0M05841g	-69.2818022540224	126.885646712356	-4.62880844860419	0.0265022630054507	0.219349351354285	-2.99659565511206
CAGL0K01771g	22.0328035739843	19.8427313429404	4.62276233229303	0.0265838424908583	0.219449418222829	-2.99818840720387
CAGL0J09108g	-18.7297847114315	139.712110438538	-4.60675865275702	0.0268014266202156	0.219449418222829	-3.00242334946797
CAGL0A04697g	-62.4299416915095	110.800579338619	-4.60637975253905	0.0268066072877998	0.219449418222829	-3.00252395112118
CAGL0J04048g	19.6146543878289	33.1502218202171	4.60261734910392	0.0268581239641028	0.219449418222829	-3.00352375129808
CAGL0G06094g	-31.7134248317836	56.8545175842079	-4.60161134671272	0.0268719213614461	0.219449418222829	-3.00379134140947
CAGL0J04004g	-40.0115830909286	29.3826586875875	-4.60070392785933	0.0268843749145387	0.219449418222829	-3.00403280335617
CAGL0F07777g	-74.5422055372216	55.3530205475141	-4.59662436712141	0.0269404600952996	0.219449418222829	-3.00511947188991
CAGL0I04532g	20.2903397424585	196.026564823467	4.59323709298389	0.0269871482990307	0.219449418222829	-3.00602311517824
CAGL0A04477g	-9.5991741124447	52.3346323660369	-4.59090869596639	0.0270193051306108	0.219449418222829	-3.00664500193645
CAGL0K04521g	-11.1761827530505	39.4665122455506	-4.59085218639502	0.0270200862131195	0.219449418222829	-3.00666010232424
CAGL0D00484g	-107.333351429254	565.159383399386	-4.58209902560733	0.0271414436602647	0.219449418222829	-3.00900332668571
CAGL0I08437g	-6.65200098920161	73.4442793893756	-4.57916698899121	0.0271822596432498	0.219449418222829	-3.009790112453
CAGL0L02365g	35.8588771164815	233.311791953972	4.57891322641237	0.027185796101394	0.219449418222829	-3.0098582517758
CAGL0I06094g	-27.8708561623627	57.2530886806649	-4.57584063224927	0.027228665534037	0.219449418222829	-3.01068385455493
CAGL0H04499g	-8.6811183209247	30.3865135426636	-4.57205279784616	0.0272816402109876	0.219449418222829	-3.01170307201867
CAGL0J10802g	62.3947248859001	159.080739787537	4.57104657596631	0.0272957361620096	0.219449418222829	-3.01197408859729
CAGL0I10747g	-306.319418555061	299.996037818597	-4.57103180441871	0.0272959431669554	0.219449418222829	-3.01197806800913
CAGL0G03091g	172.675798692592	803.979810422499	4.56937099651519	0.0273192308938181	0.219449418222829	-3.01242563835984
CAGL0K06853g	-48.2941074888455	144.334966947766	-4.5678643286234	0.0273403805581133	0.219449418222829	-3.01283193303969
CAGL0C01771g	-17.7642968971959	29.4018418955343	-4.56738479236316	0.0273471166396622	0.219449418222829	-3.01296129950215
CAGL0L05940g	7.95622947172185	86.133419118272	4.5656670447869	0.0273712644166743	0.219449418222829	-3.01342491190375
CAGL0L10015g	34.006827897894	124.894990667718	4.56505862148315	0.0273798244421845	0.219449418222829	-3.01358920088983
