genesymbol.20m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01243g	4.42637651117692	11.909706760598	49.8544046215377	2.15751133975838e-12	8.51112702138544e-09	18.255515474249
CAGL0G06050g	9.62748982261518	7.77283818243811	47.6459671041712	3.25162445898202e-12	8.51112702138544e-09	17.9693368492185
CAGL0B02475g	8.75758323874854	11.7221299034515	43.3689054760404	7.61583665626406e-12	1.32896349651808e-08	17.3456792863882
CAGL0K07546g	8.61302546159395	10.9560755763681	41.7868789932638	1.06578365151358e-11	1.39484435391839e-08	17.0887129461948
CAGL0A01650g	3.00496567019288	9.3385542249989	30.3077001861915	1.93438872841385e-10	2.0253049986493e-07	14.6504148557186
CAGL0G06952g	2.12973978970396	9.42475057253091	29.3677579384012	2.56863382208637e-10	2.15657915362294e-07	14.3931928989829
CAGL0L05456g	2.42086662519794	9.1811185821443	28.9925618873785	2.88367795135828e-10	2.15657915362294e-07	14.2874300884378
CAGL0M10351g	2.10530689902712	8.1034170400022	27.7561292980078	4.2673255948453e-10	2.79243118612689e-07	13.9257283901721
CAGL0H09262g	2.40149385723729	3.48548337468082	26.8209537464672	5.80627952010268e-10	3.37731925419306e-07	13.6379643867157
CAGL0G02717g	3.40394931426152	6.90017444643789	26.3863120396184	6.72382837757527e-10	3.51992415566065e-07	13.4998112849855
CAGL0J07040g	2.43609296327186	9.2442323848056	26.0691323804577	7.49489621903754e-10	3.56688924606014e-07	13.3971589660241
CAGL0J02552g	4.38080337347698	5.61660188542963	25.717656939714	8.46586200146124e-10	3.69323229813746e-07	13.2815515342553
CAGL0L04378g	3.76057281343449	8.46054625559588	24.8790337481087	1.13974572153918e-09	4.58966834789049e-07	12.9975444128027
CAGL0C02321g	2.63490770347379	8.46425878486022	24.631664748344	1.24655093384337e-09	4.66121009905005e-07	12.9114953910241
CAGL0H08844g	2.81688730593893	9.27469390869057	24.1471091585278	1.48945360184797e-09	5.19819307044942e-07	12.7398184291653
CAGL0E06072g	2.21492633035897	6.92527571291407	23.3157098751391	2.03830607811933e-09	6.66908269934669e-07	12.4352438292982
CAGL0G04829g	2.02822196852908	7.19428624138462	23.0861564334717	2.22698698080702e-09	6.85780990854398e-07	12.3488318212703
CAGL0B03201g	2.06994944632445	5.85539216956888	22.4028817101966	2.91335141947325e-09	8.47299704496805e-07	12.0854145587149
CAGL0D00990g	2.66429386507472	7.53230521736953	21.5533775599108	4.11482528534354e-09	1.13374265098807e-06	11.7443280548264
CAGL0L05258g	2.84905050914352	6.30287432713697	21.3927464558979	4.39893326976195e-09	1.15142078336019e-06	11.6780609045474
CAGL0E01881g	2.56347340852953	8.72634330301846	21.0139186923787	5.15906284946373e-09	1.28608066747346e-06	11.5194599694288
CAGL0J02508g	3.87618144548916	8.36794952914437	20.642251653154	6.04872924685207e-09	1.40854594468562e-06	11.3606103918046
CAGL0C05027g	3.27061925834964	7.15898143172217	20.5894226510387	6.18845400721477e-09	1.40854594468562e-06	11.3377643837212
CAGL0G01540g	4.17273059406171	9.47703477553697	19.9257816814407	8.28515068500992e-09	1.77665517064506e-06	11.0449291868248
CAGL0M11660g	5.03721990074029	9.48320446962244	19.8726172226495	8.48450415780831e-09	1.77665517064506e-06	11.0209911935684
CAGL0F05071g	1.50303653700938	6.97149328620044	19.4254557746663	1.03882214012347e-08	2.01590019866815e-06	10.8167411655311
CAGL0L01265g	1.97791581438589	6.2461956493909	19.3530881351494	1.07386844636146e-08	2.01590019866815e-06	10.7831883358431
CAGL0A01606g	2.68796352443361	4.97250492715004	19.3442705219993	1.0782274224013e-08	2.01590019866815e-06	10.7790904782003
CAGL0B02926g	8.45510474696947	7.51385599670587	19.112539153604	1.20011424048098e-08	2.16641312031653e-06	10.6706401664573
CAGL0E06380g	2.85643839493764	7.62655933965099	18.9535347279952	1.29255866377914e-08	2.19642849718821e-06	10.5953724990769
CAGL0G05269g	3.53098185705895	7.24372590531215	18.9402130196686	1.30065488849732e-08	2.19642849718821e-06	10.5890344902101
CAGL0D05082g	2.6912824849214	8.85710277980773	18.8589123963464	1.3512991695675e-08	2.21064098521434e-06	10.5502466098265
CAGL0A04257g	-2.70040188920949	5.38502077624103	-18.4378622852313	1.65110305859586e-08	2.43657421585117e-06	10.3463534286466
CAGL0K07524g	1.49466762013331	9.47784639616441	18.3805923806142	1.69729297522102e-08	2.43657421585117e-06	10.3182233335171
CAGL0H03289g	2.24767255459111	6.63994974588748	18.3673306965737	1.70819182048765e-08	2.43657421585117e-06	10.3116956248287
CAGL0H02893g	2.2315963967474	7.75049790245918	18.3642686282572	1.71071931785788e-08	2.43657421585117e-06	10.3101876659674
CAGL0M12705g	2.02097380116938	8.76964187963763	18.350512606867	1.72212504272194e-08	2.43657421585117e-06	10.3034099006598
CAGL0L00957g	1.76847535852789	7.75312454741285	18.1620702090948	1.88715412769698e-08	2.59980312065623e-06	10.2099953243676
CAGL0H02387g	3.81989160968383	9.31005789972182	18.0451500876004	1.99831358195388e-08	2.68235169269963e-06	10.1514993440199
CAGL0J10494g	2.36354149522025	6.88161098538571	17.9573994060564	2.08650539342353e-08	2.73071393364304e-06	10.1073237913693
CAGL0E01859g	2.85365765348195	6.42606513228627	17.7629654294607	2.2976827579824e-08	2.88846673103875e-06	10.0085959844433
CAGL0H02717g	2.13503189234868	4.06751587208615	17.7458344949869	2.31739451200817e-08	2.88846673103875e-06	9.99984099864919
CAGL0F05709g	-3.71068084745513	2.87066438187476	-17.6681751477116	2.40913298635283e-08	2.93297934501327e-06	9.96003653245076
CAGL0F04499g	-2.37252926190812	5.04020704891482	-17.5014953403282	2.61991756094489e-08	3.11710646171511e-06	9.8739590743425
CAGL0G02535g	-1.48001620806177	5.02972311442875	-17.2145167058172	3.032369898804e-08	3.52765698227533e-06	9.72365675672028
CAGL0L10186g	2.83905029200018	7.58376517170076	17.1408153912995	3.14956357926509e-08	3.55585376870073e-06	9.68462009534301
CAGL0G02849g	2.84154686617843	7.61509277401541	17.1145962805302	3.19245706072463e-08	3.55585376870073e-06	9.67068931338702
CAGL0H00704g	2.61540160415858	9.03749248139169	16.9935380558417	3.3990715039058e-08	3.69721888270707e-06	9.60606979246971
CAGL0J08294g	1.90315019592193	8.34223716119817	16.9590424503269	3.46062512421483e-08	3.69721888270707e-06	9.58756598464518
