S3	S4	S7	S8	gene.names
0	0	0	0	CAGL0A00105g
0	0	0	0	CAGL0A00110g
0	0	0	0	CAGL0A00116g
0	0	1	0	CAGL0A00132g
0	0	0	0	CAGL0A00154g
46	61	38	29	CAGL0A00165g
267	340	541	315	CAGL0A00187g
1428	1820	2066	1401	CAGL0A00209g
312	397	396	258	CAGL0A00231g
447	671	789	468	CAGL0A00253g
589	810	675	448	CAGL0A00275g
159	168	320	176	CAGL0A00297g
149	222	207	132	CAGL0A00319g
26	41	121	68	CAGL0A00341g
1483	1637	2218	1387	CAGL0A00363g
72	101	48	27	CAGL0A00385g
779	929	2052	1129	CAGL0A00407g
1407	1687	1480	939	CAGL0A00429g
513	441	1145	491	CAGL0A00451g
488	604	490	301	CAGL0A00473g
16845	23541	16963	11689	CAGL0A00495g
337	430	1017	522	CAGL0A00517g
333	499	669	409	CAGL0A00539g
69	114	147	95	CAGL0A00561g
164	220	183	108	CAGL0A00583g
163	229	323	187	CAGL0A00605g
340	449	187	161	CAGL0A00627g
0	0	1	6	CAGL0A00649g
0	1	0	0	CAGL0A00671r
0	0	0	0	CAGL0A00715g
0	2	0	3	CAGL0A00737g
0	0	0	0	CAGL0A00759s
245	338	555	381	CAGL0A00781g
287	345	468	312	CAGL0A00803g
231	265	326	225	CAGL0A00825g
151	180	64	59	CAGL0A00847g
185	272	161	134	CAGL0A00869g
268	349	453	343	CAGL0A00891g
271	335	315	227	CAGL0A00913g
132	232	119	46	CAGL0A00935g
244	376	476	274	CAGL0A00957g
4485	5220	2356	1936	CAGL0A00979g
231	314	269	174	CAGL0A01001g
297	434	344	239	CAGL0A01023g
1109	1489	1522	904	CAGL0A01045g
824	1035	785	509	CAGL0A01067g
42	54	69	39	CAGL0A01089g
675	912	1650	738	CAGL0A01111g
234	300	484	337	CAGL0A01133g
157	237	146	107	CAGL0A01155g
66	67	68	51	CAGL0A01177g
170	247	328	185	CAGL0A01193g
495	617	181	90	CAGL0A01199g
839	984	1659	873	CAGL0A01221g
630	732	18717	12261	CAGL0A01243g
23	33	94	62	CAGL0A01284g
16	18	23	11	CAGL0A01325g
31	32	149	63	CAGL0A01366g
9	9	14	10	CAGL0A01408g
3364	4197	3844	2183	CAGL0A01430g
234	361	317	228	CAGL0A01452g
567	607	749	569	CAGL0A01474g
0	0	0	0	CAGL0A01496r
8759	10240	4134	3166	CAGL0A01540g
16140	18298	9710	7553	CAGL0A01562g
12	5	15	6	CAGL0A01584g
13	14	107	79	CAGL0A01606g
287	405	424	310	CAGL0A01628g
161	181	1937	1046	CAGL0A01650g
511	690	1276	757	CAGL0A01672g
101	160	271	172	CAGL0A01694g
356	467	2564	1019	CAGL0A01716g
569	782	1733	1106	CAGL0A01738g
192	247	435	294	CAGL0A01760g
6659	9769	1951	1587	CAGL0A01782g
763	1146	257	200	CAGL0A01804g
4	5	6	3	CAGL0A01826g
690	945	1323	823	CAGL0A01848g
73	109	276	142	CAGL0A01870g
0	0	0	0	CAGL0A01892g
678	876	847	523	CAGL0A01914g
0	0	0	0	CAGL0A01936r
457	610	233	171	CAGL0A01958g
170	212	378	231	CAGL0A01980g
13	11	53	31	CAGL0A02002g
115	138	416	258	CAGL0A02024g
225	322	673	425	CAGL0A02046g
0	0	0	0	CAGL0A02068r
2159	2709	1207	936	CAGL0A02090g
4406	5333	3029	2068	CAGL0A02112g
283	330	446	285	CAGL0A02134g
6	15	37	16	CAGL0A02145g
0	0	0	0	CAGL0A02167r
2670	3551	1354	989	CAGL0A02189g
834	449	216	110	CAGL0A02211g
171	170	66	40	CAGL0A02233g
0	0	0	0	CAGL0A02255g
0	0	0	0	CAGL0A02277g
87	107	35	21	CAGL0A02299g
774	744	389	278	CAGL0A02321g
0	0	0	0	CAGL0A02343g
1024	1220	1756	1131	CAGL0A02365g
438	448	950	586	CAGL0A02387g
637	861	997	520	CAGL0A02409g
227	314	515	121	CAGL0A02431g
0	0	0	0	CAGL0A02453r
130	185	378	132	CAGL0A02475g
358	438	525	345	CAGL0A02486g
317	450	401	257	CAGL0A02508g
894	1192	1610	961	CAGL0A02530g
670	858	787	481	CAGL0A02552g
1315	1628	2638	1075	CAGL0A02574g
289	361	377	275	CAGL0A02596g
203	243	510	306	CAGL0A02618g
1233	1493	2525	1477	CAGL0A02629g
