genesymbol	S3	S4	S7	S8	S11	S12	S15	S16	S19	S20	S23	S25	S26	S29	S31	S32	S35
NCE103	5.934139449	5.280914374	9.795188312	9.765326699	10.10234766	9.802710447	9.814671831	9.75912209	9.668239687	9.990318321	9.592338648	9.994620508	10.11916054	10.24585431	10.60312873	10.30041105	10.34109853
ECM4	7.610153179	7.618080715	10.33846399	10.01210045	11.2601453	11.09310724	11.73519294	11.64655408	11.61207152	11.65933313	11.51027458	11.2911252	11.07253237	11.36840148	12.1237323	11.3198803	10.92308499
MTD1	4.618161534	4.790218177	5.776309825	5.381888729	6.157092074	6.067548615	6.107142662	6.142677193	6.298607203	6.330706177	6.541886293	7.267445995	7.582101932	7.626199045	7.549305597	7.841210951	7.89606705
SSA3	5.217706112	5.53679028	9.209074421	8.417422148	9.286525383	9.053198711	9.929638517	9.91554641	9.997134275	9.960573247	10.46496992	10.20518613	10.05141249	10.09097612	10.3636137	9.733873471	9.55875754
SSA1	10.84317163	9.232960064	12.32543659	11.86986155	10.53857113	9.592312416	8.800889628	8.267845335	8.439724266	8.347156995	9.031745972	9.118706283	8.636781439	9.303829152	8.903842642	9.451731185	9.641968086
TPO1_1	6.377648377	6.60113212	4.285660639	4.31135743	2.770611853	2.953731521	2.626398517	2.287251615	1.914500756	1.742236125	2.064914709	1.817374754	1.517184816	1.715448749	1.044803887	1.62378247	2.242618754
SUR4	9.643364817	9.592902628	8.992317992	9.146764628	8.126698256	8.202774161	6.952058748	6.662521396	7.390470874	7.152465237	7.272164396	7.165269001	6.728928784	7.099331794	6.772465269	7.43650032	7.043791462
TPS2	7.298486065	7.300639887	8.829480193	8.796433803	10.25370528	10.17573954	10.69145146	10.53285563	10.5011173	10.48492427	10.47823841	10.28575623	10.21951978	10.38570594	10.8941906	10.23527978	9.984393682
HO	1.001671037	1.413366909	1.999811376	2.507221199	3.150148217	2.855216661	3.42604533	3.663096697	3.362749935	3.804156807	4.499167673	4.809455219	4.734046258	4.861213525	5.228936743	5.03135033	4.974291409
GDH2	4.869625061	4.721152372	5.726282621	5.701240654	7.531677906	7.546135503	8.690765557	8.693801725	8.636048055	8.606267655	8.438738591	8.153282726	8.220153131	8.22620903	8.459727174	8.061217453	7.879384072
PHM3	7.072424803	7.168522652	9.266211061	9.234215974	9.752946076	9.699422162	9.841289816	9.83042446	9.918353857	9.875777136	9.86209123	9.828597372	9.836905689	9.814289181	9.818601772	9.696293721	9.70439277
APT1	8.576992877	8.441164306	5.925649882	6.235502795	3.7779824	3.544497584	2.944734619	2.47091166	3.16728791	2.893649904	3.847969857	4.466185106	3.895704709	3.999051813	3.571689158	4.245315535	4.764995801
ARV1	6.650766355	6.787212766	5.615215067	5.527484158	4.355090121	4.474868151	4.277037915	4.270132007	4.647270378	4.323096472	4.134155669	4.503210698	4.561161352	4.547866206	4.579693956	4.806363684	4.916591472
QDR2	6.807784928	6.394856757	6.900130411	6.624505915	6.68095518	6.61354918	7.035457765	7.027468114	7.530967875	7.387476556	8.195597555	8.882696437	8.851866161	8.706938068	8.300936494	8.415772131	8.66175182
GDB1	6.614775	6.548944222	9.121310201	9.076723114	10.5675851	10.53189563	10.76344118	10.75408454	10.57077166	10.55790875	10.47823841	10.22147899	10.26474945	10.48391414	10.9291867	10.30057475	10.11465326
AWP6	-0.148789152	-1.774274078	-1.923744387	-1.426793893	-1.433893573	-0.765728898	-1.595708633	-0.143798867	-1.766048389	-1.308822957	-1.348420667	-1.898035082	-1.434443795	-3.703235086	-1.806621258	-0.982601416	-1.511922966
SPE2	7.927899507	7.996096835	6.879679556	7.095357203	6.071578244	6.259528756	5.485292275	5.392032725	5.651308094	5.559091098	5.472966892	5.662258158	5.563293615	5.405560936	4.950322699	5.3271142	5.513365125
DBP3	8.268840667	8.09153736	5.464684038	5.834078545	4.119754972	4.167931331	3.984596194	3.998308961	3.954264002	3.680879501	4.305302149	5.524973334	5.282729048	5.700688377	5.252866923	5.704988966	6.034117778
PSA1	5.615904728	5.461151417	6.985546409	7.05429341	7.866919304	8.016844537	7.988163106	7.95084521	8.108367737	7.85388009	7.025108181	6.869288353	6.608378547	6.288360214	6.15099182	5.924814278	6.249360416
CYS3	9.171526051	9.102692583	8.372655147	8.361548923	7.748911027	7.455169273	6.99579761	6.814651087	6.720245361	6.743200273	6.703684233	6.576837904	6.38870182	7.062527104	6.901700861	6.882509013	6.895702642
ADH6	5.506671448	5.582938064	7.198670346	7.044648833	5.756339125	5.589364372	4.403667924	3.71861786	3.664098585	3.933242447	3.224128143	3.327193188	2.931128677	2.804181383	2.516539962	3.066334433	2.473569096
DYS1	8.080834606	8.067393315	6.420028517	6.787576016	4.927856976	5.164847067	4.969440194	4.580959367	5.175461168	5.209989411	5.670849697	6.282434786	6.309580284	6.308708146	5.844755434	6.484019732	6.620525923
HXK2	10.40887172	10.2612732	9.74142179	9.893535845	9.004081576	9.07707239	7.640489997	7.751209126	7.461540196	7.526966917	7.579127677	7.85813582	8.087643068	7.928972222	7.227726589	8.463925155	8.301209651
ATG11	4.500365063	4.8014144	5.282818305	4.998036303	6.105779941	6.06387717	6.351172809	6.299589547	6.529871753	6.68480812	6.978880297	7.132164852	7.304874503	7.269311248	7.418769031	7.399073803	7.046782866
FUR1	10.95535017	10.94377064	9.335841355	9.470455688	8.244414588	8.543863725	7.314100986	7.007173165	6.817926332	6.081937876	5.863222978	6.105125182	5.269081209	5.959941116	5.916427076	5.53285418	5.76295754
PST2	7.036600307	7.140141831	8.410371435	8.104267309	9.120049361	9.049954563	9.335305738	9.338046418	8.92364077	9.134365829	8.754107335	8.388320396	8.25137584	8.370846684	9.058936607	8.37531212	7.637927525
ARO3	10.23669285	10.29557787	9.233007667	9.092411045	8.125940946	8.158704756	7.297885609	7.333381977	7.79925908	7.383245651	7.645131635	7.768468134	7.551987152	7.641431454	7.127740503	7.385556539	7.78221724
PUB1	8.602741643	8.405839134	7.945208972	7.954370765	7.557744111	7.536895468	7.05764062	6.879015575	7.099657536	6.899495602	6.681651849	6.794093181	6.133985516	6.776307392	7.221676421	6.908518703	6.788986602
GCY1	6.093729966	6.14092684	7.416229602	7.439988965	8.95247669	9.052735708	9.416402089	9.297599241	9.255428623	9.272309086	9.259034883	8.986036153	8.929831962	8.917379673	9.555291231	8.877860639	8.557594195
GRE3	8.325608318	8.181053948	9.926712107	9.41101812	10.59561684	10.17339887	10.85118555	10.61622755	10.47932836	10.47501841	10.29204166	9.979372195	9.693562797	10.08246619	10.61067213	9.870703791	9.558495568
TRR1	7.283280429	6.989205481	7.746209697	7.734054399	6.414420115	6.46557282	5.525638238	5.568606105	5.688246507	5.710859244	5.768847799	6.005417703	5.589885892	5.612503017	4.763057719	5.459683351	5.324151765
PEX24	3.926573177	4.059653651	4.155614446	4.104114653	5.29963074	5.450046646	6.058471816	5.981799908	6.102746878	6.149926799	6.452764214	6.388487394	6.08808697	6.322115724	6.8568626	6.054717635	6.110443698
OYE2	2.248867124	3.120926197	3.318595817	3.497446998	3.308042684	3.291755519	4.55167843	4.388975266	4.556954282	4.489785222	5.082496634	5.03690557	5.072531515	5.193364392	5.571044809	5.050165371	4.814980173
PEX21B	1.001671037	1.817970829	2.302598038	2.171370237	3.101668784	3.075420741	3.244573167	3.663096697	3.5348621	3.585893257	3.644322933	3.532171872	3.487866556	3.619278791	4.740666853	3.996441748	3.971527709
TIF1	10.92158023	10.90747695	9.667129727	9.828046627	8.889171739	8.932560274	8.275225918	8.22614976	8.632103792	8.46461182	8.471639429	8.873299273	8.79585975	8.84453364	8.79566093	9.101410092	9.249384878
GRX7	6.757320664	6.712078919	8.78557491	8.800259923	8.994571148	8.999915798	9.193500136	9.345046295	9.319127397	9.566248108	9.355430511	9.671093526	10.04961748	9.96345054	10.09085595	10.22720757	10.17912009
HMT1	8.367065153	8.1864018	6.116403403	6.571760335	6.165960703	6.200561557	5.806725767	5.817754987	5.88138277	5.844071588	5.919532518	6.183254275	6.022899671	6.244437222	6.529633536	6.202199094	6.404331053
TRP2	9.151428418	9.0055936	8.083764696	8.045841676	7.374777362	7.485675748	6.55204383	6.489781055	6.723214766	6.572854197	6.48025382	6.801543841	6.579918805	6.696194783	6.18662948	6.705905819	6.725064185
