genesymbol.90m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01243g	5.15854754881697	11.909706760598	47.4391599536103	3.38221084545593e-12	1.27348344097345e-08	18.261593042555
CAGL0F05071g	3.93444457988877	6.97149328620044	41.5182923058951	1.12977073823479e-11	1.27348344097345e-08	17.2853081977795
CAGL0G06050g	10.2374521507099	7.77283818243811	41.3675055405954	1.16755432083909e-11	1.27348344097345e-08	17.2577211833319
CAGL0F08261g	7.4204889765517	7.29769393373498	40.7721712329429	1.33104353535183e-11	1.27348344097345e-08	17.1473405426445
CAGL0K07546g	10.128137249189	10.9560755763681	40.1206677712272	1.53967131847897e-11	1.27348344097345e-08	17.0238117437989
CAGL0G05269g	9.11638128128144	7.24372590531215	39.9269581250934	1.60851776011429e-11	1.27348344097345e-08	16.9865194016972
CAGL0A01650g	4.78310091599083	9.3385542249989	39.3892201023539	1.81821757877808e-11	1.27348344097345e-08	16.8816105577457
CAGL0B02475g	9.66856366898394	11.7221299034515	39.0940370157942	1.94610650005493e-11	1.27348344097345e-08	16.8231418837414
CAGL0G02563g	7.28895217223012	3.8236169928252	36.4523688626728	3.66114563881405e-11	2.12956637991017e-08	16.2704384797849
CAGL0K11275g	3.56369022493203	7.18963952034868	35.5716775125612	4.56562870128582e-11	2.39010662512313e-08	16.0736078823172
CAGL0H08844g	4.90332589421751	9.27469390869057	34.3194881678913	6.30875122206635e-11	2.93427961443243e-08	15.7819937747819
CAGL0G08734g	-5.4850997971286	5.66025026002372	-34.0766313740857	6.72614238265313e-11	2.93427961443243e-08	15.723768905259
CAGL0C05027g	6.5338584948832	7.15898143172217	33.5844526092331	7.66931548124426e-11	3.08837434956259e-08	15.6040464185899
CAGL0L04378g	6.05043209601566	8.46054625559588	32.6828761987329	9.80212054340092e-11	3.66529293176456e-08	15.3785687709513
CAGL0L02827g	3.79306604275115	7.41491254051882	31.1425465032418	1.5144734164149e-10	5.2478083310362e-08	14.9738145055003
CAGL0G06952g	2.74161750268825	9.42475057253091	30.8677860553769	1.64031906017513e-10	5.2478083310362e-08	14.8988864662501
CAGL0C02321g	4.01424018408429	8.46425878486022	30.6398110171509	1.75356982375061e-10	5.2478083310362e-08	14.8360641371009
CAGL0G02717g	4.82567383255091	6.90017444643789	30.5427364274264	1.80440401067147e-10	5.2478083310362e-08	14.8091317084278
