wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min
1.513394022	2.915159435	3.312590568	3.193457806	3.178675437	2.95307503	3.086142964	3.265172215	2.684830706
1.384598355	2.43125786	2.699576942	2.452912833	1.838553987	1.333583334	1.304773438	1.5570949	1.051611412
0.480623791	1.170845487	1.672805606	1.808986407	1.979702505	2.051380964	2.050218116	1.962538867	1.838285363
1.31078088	2.885277796	3.239672262	3.146540451	3.14170648	2.840605654	2.80005127	3.099247532	2.440265792
-1.546411883	-2.555421248	-3.788923329	-4.499628301	-5.086337427	-5.262457209	-4.989619288	-5.224919777	-5.186602865
-2.133506273	-4.243314701	-3.773427814	-3.302243306	-2.42673071	-1.997169994	-1.721996257	-2.040115012	-1.715720363
1.576854834	0.128046993	-1.483661864	-1.74613424	-2.320676613	-2.415643824	-2.740623373	-2.753367559	-3.07123566
0.176835877	-1.802870258	-2.925349869	-2.753980944	-2.611334497	-1.981303414	-1.383985583	-1.263126469	-0.874927635
1.045997314	1.795163466	2.33705204	2.375934398	3.2916487	3.564231765	3.653694552	3.922624564	3.766772436
0.106945226	-0.027496364	-0.67242424	-1.091917934	-2.8327179	-3.363352108	-3.386153808	-2.965278211	-3.459488028
0.763771832	1.689604891	2.088048957	2.075662097	1.612593791	1.647712295	1.605570928	1.576447969	1.465455395
1.653014333	3.431692275	4.560452126	4.619888831	4.833200885	4.438465538	5.045855451	5.125643204	4.536048911
2.561165276	3.562509324	4.076756564	4.021585379	3.896157629	3.567711838	3.754284529	4.107689355	3.30896804
-1.17554154	-1.858630467	-2.200457772	-2.014262371	-1.897499268	-1.683101345	-1.555139622	-1.524026082	-1.438250037
-0.521790479	-0.877209901	-1.412347592	-1.620423015	-3.445334973	-4.036528931	-3.693676927	-2.934868782	-3.275718491
-1.122178886	-2.030763831	-2.106502954	-1.921332677	-1.33190996	-1.082500782	-0.608335653	-0.563240907	-0.216913931
3.436000089	3.792613851	4.545344268	4.601605565	5.087721728	4.751051111	4.713727924	4.671495389	4.181509344
0.918622283	1.212119388	1.42408952	1.420094485	1.637470664	1.902231435	2.045734833	1.844505942	2.167096834
-1.360308068	-2.437011372	-3.204797054	-3.091250349	-2.565329163	-2.413380444	-2.507338466	-2.503135441	-2.475014388
-4.749035655	-4.258703925	-4.879722047	-5.588245428	-5.755450352	-5.400482994	-5.494062163	-4.776022242	-5.230094966
0.97250524	2.589085337	3.087244615	2.994106107	2.901079202	2.737854935	2.725820235	2.961015373	2.482666757
-1.013707823	-1.648284454	-2.557598566	-2.430476527	-2.598257189	-2.387779685	-2.382316226	-2.63224336	-2.353446824
0.057478447	-1.730343879	-2.50503403	-2.378009027	-1.929988849	-1.485111977	-1.269512065	-1.227602407	-0.819410649
4.859493821	6	6	6	6	6	6	6	6
-1.378878298	-2.741549187	-3.857983752	-3.821539196	-3.41048902	-3.160901547	-3.042095412	-3.219013638	-2.502700953
1.858955222	3.937666761	4.562795228	4.289936888	3.917698667	4.005264655	3.813582037	4.056741831	4.017007967
-1.612851142	-3.311713225	-4.299605408	-3.976156718	-3.823313445	-3.510324263	-3.124508893	-3.533869618	-2.764814707
-1.926748518	-3.577606701	-4.208594479	-3.441612534	-2.845664193	-2.254265487	-2.142789457	-2.24258252	-1.734221703
1.720482416	2.249718624	2.091698409	2.150563011	1.773740962	1.631710846	1.540545059	1.674226972	1.644403702
0.846998961	1.702140967	1.99654393	2.111315944	2.036180038	1.809385632	1.695187134	1.860908756	1.450866399
-1.237945809	-2.320132317	-2.996408177	-2.752788535	-2.431449404	-2.04218803	-1.697637796	-2.141160398	-1.51147487
2.468314953	3.6281682	4.581532568	4.400124413	4.381006655	3.988813808	4.242230782	4.598989272	4.169947301
1.096245665	1.746153187	2.133297959	1.99198928	1.477463768	1.374116653	1.16939068	1.077622827	0.885667178
0.709548763	1.435157298	1.867092532	1.885436388	2.003291962	1.754252192	1.807559581	1.852111784	1.567389442
1.103919066	2.598322886	3.12666743	2.918550963	2.4441977	1.832474815	1.6878959	2.191906807	0.986673073
-0.610861284	-1.255268935	-2.904988814	-2.646313672	-2.681236477	-2.390656856	-2.456291079	-2.980557975	-2.250463774
-0.428043886	-0.797895224	-1.428749133	-1.791688698	-1.787842067	-2.091620123	-2.554590216	-2.737492534	-2.24150863
0.42300461	2.280579089	3.281505709	3.390365147	3.532697617	3.394348571	3.832512347	4.229881133	3.808223807
-1.929236931	-3.945146808	-4.588531836	-3.976661499	-3.398948412	-2.798913368	-2.358275625	-2.591492295	-2.101347838
-1.124146263	-2.354038545	-3.188602692	-3.210445622	-3.194106007	-2.748453896	-2.522576646	-2.82646812	-2.165330066
-1.174473445	-2.558441793	-5.332479177	-5.152698413	-4.331910094	-3.191550862	-2.686446281	-3.067777369	-2.028624948
-2.315792764	-3.922793176	-3.171386479	-2.578131899	-1.361181911	-0.991589807	-0.722841879	-0.775416036	-0.230540871
-1.165498745	-2.463684811	-3.692990427	-3.249018496	-3.103812981	-2.74911671	-2.697157144	-2.827179253	-2.36974675
-0.880088211	-1.831963288	-2.028429511	-1.787262147	-1.289642266	-0.787856668	-0.504982863	-0.732800807	-0.186011057
-1.932651608	-2.093472347	-2.4644931	-2.414006298	-2.357200959	-2.173656504	-2.032296255	-1.910817162	-1.872402424
1.74987855	2.474700811	2.345169193	2.501985716	2.376243785	2.15878017	2.164595822	2.336503243	1.874598435
-1.470311694	-3.027761939	-3.29891418	-2.881388671	-2.403264264	-1.778106425	-1.765405815	-1.909726378	-1.453588038
0.829495966	2.080766815	2.062953349	2.140223681	2.537486231	2.527378721	2.436026462	1.958800903	2.462275891
-0.756706835	-1.630811567	-2.591799686	-2.242179542	-2.10579892	-1.789165329	-1.851380186	-2.114289659	-1.611852425
1.559179971	2.135539845	2.62554932	2.732139723	2.573080803	2.730725543	3.163296038	3.218281135	3.086526697
1.618756417	2.766740626	3.138607385	3.037737037	2.987383742	2.737743129	3.014126876	3.153600124	2.388164091
2.819957923	3.583827783	3.219109813	3.265545914	2.797505218	2.294736345	2.354133813	2.70325184	2.735411069
-0.548592413	-1.453397514	-2.81084365	-2.346665667	-2.345969326	-2.67103483	-2.518801928	-2.513650928	-2.574342261
1.158543184	2.130253345	2.372841435	2.331289955	2.372877481	2.215438469	2.298244425	2.40089092	1.956362053
-0.651373409	-1.456575699	-2.338206416	-1.864930251	-1.884063229	-1.558266415	-1.196777849	-1.079691704	-1.087947265
-0.505282924	-1.332743537	-2.5875228	-2.087817718	-2.414763578	-2.88651031	-2.859361207	-2.404780737	-3.073376409
-1.015312625	-1.820964006	-2.612474194	-2.727384178	-2.533074513	-1.914489516	-1.698286167	-2.008733447	-1.316912064
0.136751135	1.381725279	2.027022448	2.133223425	2.4596508	2.245173768	2.32900231	2.462676704	2.117330284
1.623336487	2.881605409	2.922575299	2.671125546	2.382232442	1.896040637	1.919881037	2.302479415	1.301902933
-0.540957604	-1.616769459	-2.01856575	-1.804916402	-1.424903711	-1.200010068	-1.241930737	-1.195917655	-1.029857258
-2.280452236	-4.291741482	-3.965708754	-3.23230654	-2.23657487	-2.236188719	-1.264745101	-1.403869775	-1.075437133
1.893739255	1.832080495	1.948565889	1.826994837	1.926488891	1.945371196	1.852516691	1.730886363	2.061472364
-0.1067256	-0.064143685	-0.61877317	-1.333193224	-3.662445708	-4.702919075	-4.094955975	-3.168821244	-3.510177564
1.255638581	1.974473642	2.033344711	1.946163506	1.577346612	1.545540387	1.689501069	1.76104325	0.90729099
-0.72557266	-2.203823249	-3.855291802	-2.900020777	-2.044445415	-1.284431388	-1.104010598	-1.585954949	-0.89872813
-0.889077399	-1.810284212	-1.417930611	-1.190804637	-1.999614532	-2.972285247	-2.635546887	-2.291314886	-3.397083042
0.812386973	0.853815689	0.821179399	0.458843049	1.248356499	1.951907577	2.179378615	2.085919087	2.114710187
2.958368891	2.875564896	3.172891241	3.248725813	3.006137999	2.946368485	2.854012861	2.806171598	2.807542336
0.344149501	-0.631345718	-2.128042775	-2.210506002	-2.060096468	-1.755234342	-1.80081099	-1.903866718	-1.6267775
0.603889093	-0.696246488	-1.589120784	-1.43669008	-1.367395156	-1.338591158	-1.523739938	-2.02487242	-1.81209119
-1.372971627	-2.278914673	-2.336943873	-1.638935143	-1.230303376	-0.79785428	-0.425977833	-0.667119798	0.016773095
-1.159540169	-1.924956784	-2.143199975	-2.041089207	-1.960825511	-1.862041358	-1.862001125	-2.168150152	-1.615423549
1.151321295	2.027090629	2.109281104	2.159714529	1.934448846	1.814426363	1.387307064	1.673266044	1.512904109
-1.090328776	-2.130641836	-2.523168598	-2.099698261	-2.058962555	-1.512717925	-1.810061758	-1.89047572	-1.630375456
-0.028483784	-0.490490101	-1.63814389	-1.106601426	-1.462658422	-2.043470289	-1.979659696	-1.289870728	-1.730475486
-1.205872005	-2.567877701	-3.098274942	-2.653031376	-2.635581467	-2.174213997	-2.069253753	-2.569962966	-1.733597297
0.723124747	0.615002441	1.785430187	1.838473091	2.397599973	2.369821882	2.508467731	2.62570843	2.130083513
-1.545373142	-3.167914559	-4.948800938	-5.128580931	-4.647544754	-4.519612336	-3.570222906	-3.927114361	-3.093664266
2.000403931	3.952175994	3.609496222	3.694504038	3.649551041	2.878470197	3.087070096	3.333029391	2.85176608
4.680964008	5.806517384	6	6	6	6	6	6	6
0.178063191	0.894378995	4.207379988	4.786459878	5.619591905	6	6	6	6
1.168948303	1.996630893	2.248305009	1.94063223	1.665736266	1.231477049	1.282475614	1.628753294	0.549556456
-0.660824371	-1.387132496	-2.163218449	-2.055607335	-1.957093023	-2.342805353	-2.315007319	-2.153567121	-1.758292129
-1.075305242	-2.130026301	-2.369651402	-1.968341647	-1.527466442	-1.394654881	-1.381669975	-1.569862921	-1.096010709
-0.517593647	-1.294495481	-2.639222903	-2.840818908	-2.755944787	-2.362183021	-2.406100243	-2.489246593	-2.033862814
-2.163916951	-2.846373338	-3.361282775	-3.576729792	-3.529405153	-3.674142649	-3.369436272	-2.885972971	-3.101561121
-0.55450052	-0.956970599	-1.535962291	-1.504713819	-1.82263854	-2.04025104	-1.727982996	-1.439192826	-1.715303787
0.827163204	1.678723829	2.044013999	2.150556745	2.234502	2.100198281	2.209457858	2.958733368	2.561706776
1.619188964	2.616952716	2.352741103	2.332676503	2.226311758	1.823469022	1.638651135	2.120347266	1.797733178
1.478687451	0.540805805	1.948659581	2.665627444	2.27399812	2.680931889	1.729585098	2.149636837	2.172805287
-1.967726445	-1.665898694	-2.201521483	-2.54228405	-2.303338303	-1.325183268	-1.492715026	-1.910964412	-1.002313685
1.675714433	2.250613481	2.358258058	1.928480413	1.52849776	0.81504366	0.981444579	1.456075088	0.54335885
0.824779751	0.890459674	1.003965401	1.00230981	1.356833268	1.732112835	1.763955404	1.521817392	2.071900563
-0.928515151	-2.047761391	-2.490131794	-1.84306152	-1.276348292	-0.705310056	-0.573919337	-1.089662563	-0.17357098
0.378175463	0.102518512	1.906441885	2.628292677	3.461954928	4.174880611	4.460040577	4.837098205	5.327292464
1.41553398	2.13117672	2.480375421	2.223842252	2.038710531	1.583136363	1.829135053	1.987356827	1.305164435
2.300748038	0.549191703	-0.339864502	-0.350498892	-0.45136756	-0.504526452	-0.54503725	-0.407595303	-0.289704174
0.754038621	1.500796866	1.602309127	1.698245132	1.88890385	2.481704931	2.320476172	2.045102963	2.424325449
0.904281768	1.879268449	2.512789305	2.40810967	1.48794329	1.087437889	1.275183687	1.33520324	0.703782921
1.346192864	2.149685631	2.426745383	2.133982772	1.778916771	1.137716002	1.344438401	1.75347799	0.716113961
-0.016185695	2.152096694	2.769626207	3.077806837	2.854371986	2.714746824	2.011792487	1.91557358	0.949359304
0.651027351	2.258630318	2.259778007	1.735740544	1.305630693	0.612957323	0.947348335	1.38697603	0.345123609
0.88974535	2.399282176	3.365769184	2.992791671	4.126075608	3.464752318	4.554222751	3.964129484	3.753307565
0.268891576	2.120670548	5.333998832	5.325264131	5.38072954	4.276263358	4.756493191	5.006333047	4.820343561
1.037622381	2.417389661	2.484105796	2.696249232	2.439219487	2.576565583	2.723431036	3.320795181	3.037182765
2.059583225	0.027375929	-1.503698364	-1.644625216	-1.006319874	-1.160321985	-0.734236694	-0.860278932	-0.39609776
1.221251748	-0.413330744	-0.342830252	-1.396874184	0.150967036	0.773787682	1.831331276	1.154419301	2.75715913
-1.412725206	-2.583659109	-2.55450768	-1.834093587	-1.122961824	-1.387926177	-0.392358507	-0.663427821	-0.622298511
0.188519447	0.244036968	1.246597158	1.607087594	2.383987745	2.016415851	2.796820882	2.773616022	2.197489615
0.917527241	2.052268599	1.902777292	1.713738157	1.298503303	0.995049328	0.163305803	-0.056073354	-0.505119938
0.780635371	1.278187054	2.020052722	2.048908628	2.086090337	2.521951601	2.400107146	2.317593032	2.411332655
1.531906387	1.733488456	2.895441718	3.113969685	3.565022994	2.827473279	3.869364236	3.900729421	3.537828925
0.357493658	1.518564438	2.463122973	2.446749904	1.975737112	2.628212272	1.989150144	2.280033696	1.788214657
-0.076454046	-0.305412227	0.530584597	0.680190622	0.854478968	0.545968218	1.833340893	2.119325028	1.818099987
0.10585443	1.232794769	0.907562135	1.598603615	2.044019225	2.493282685	2.509470028	2.283205462	2.753953167
0.500652124	1.465662956	1.978677733	1.59824518	1.638154946	1.45927753	1.877175551	2.232719271	1.692625176
2.131059672	2.67884922	3.189547986	2.531902413	4.017141664	4.319952429	4.477554568	4.715735275	4.551140345
1.138220596	1.97826525	-8.88e-16	0	-1.78e-15	-1.33e-15	2.074996496	-1.33e-15	-2.22e-15
0.595904797	0.162604256	0.41680041	0.764620418	2.063432023	1.856237601	2.173083561	1.559433915	2.320141474
0.88974535	2.22e-15	-2.22e-15	0	-1.78e-15	-1.33e-15	7.55e-15	0	2.19131212
-0.552664168	-1.015354225	-1.037232877	-1.379837983	-1.414294982	-2.412371174	-2.055139512	-2.069366581	-2.524226542
