genes,wt.max,del4.max,minus
CAGL0B02475g,10.148554306709,2.5713498710257,7.5772044356833
CAGL0A01650g,4.95151298817579,3.41954494035572,1.53196804782007
CAGL0G06952g,2.68444923971075,1.25266856750022,1.43178067221053
CAGL0K07546g,10.1070155870371,3.93868693969101,6.16832864734609
CAGL0J07040g,2.78764898222475,1.52311234753943,1.26453663468532
CAGL0A01243g,5.48377098957079,0.861299143063036,4.62247184650775
CAGL0C02739g,5.09903259334289,4.03347274330678,1.06555985003611
CAGL0I04554g,3.34470648743001,0.483953108847421,2.86075337858259
CAGL0D00990g,4.49148318320337,2.62336986790009,1.86811331530328
CAGL0L00737g,2.13431268336264,0.891062910249044,1.2432497731136
CAGL0L05456g,2.14486341561954,+AC0-0.164754935163953,2.30961835078349
CAGL0L04378g,6.08463674654252,4.94211766692674,1.14251907961578
CAGL0F02145g,2.25573984896782,1.13781281317135,1.11792703579647
CAGL0E05588g,2.93255063918513,1.74113610163226,1.19141453755287
CAGL0L12144g,1.78892408497219,0.667123242545729,1.12180084242646
CAGL0K04235g,2.76186927415114,1.86213118288052,0.89973809127062
CAGL0H02387g,5.64594704657274,4.50149308906273,1.14445395751001
CAGL0F07117g,3.93912766585101,2.9670752411179,0.97205242473311
CAGL0M12705g,2.37944213056163,0.920960628962783,1.45848150159885
CAGL0L06644g,2.23021579670282,+AC0-0.015578214679164,2.24579401138198
CAGL0I00748g,2.59952491368764,0.969381861048323,1.63014305263932
CAGL0C04939g,4.25927493779458,2.8051590303509,1.45411590744368
CAGL0J04884g,6.03571145222831,4.65518939722348,1.38052205500483
CAGL0M11660g,6.27188300966605,4.21118794951252,2.06069506015353
CAGL0G09262g,2.66307907136945,1.41317202257028,1.24990704879917
CAGL0J02508g,6.04877468998369,4.92646941522653,1.12230527475716
CAGL0K07524g,3.16153418413204,+AC0-0.120440552606216,3.28197473673826
CAGL0E05984g,11.3121174929829,9.80216822324734,1.50994926973556
CAGL0C00275g,4.26786252869291,3.33618687583503,0.93167565285788
CAGL0K10824g,5.53868960927682,4.60545619848812,0.933233410788699
CAGL0H08778g,3.34150977054184,2.356877491713,0.98463227882884
CAGL0G06050g,10.7048224164464,4.53585348752475,6.16896892892165
CAGL0C01551g,1.62047672985579,0.259997225752599,1.36047950410319
CAGL0K06237g,2.08482029293967,1.11373943448228,0.97108085845739
CAGL0M12925g,2.38939205413951,0.920446992948806,1.4689450611907
CAGL0L04686g,4.08996635804453,3.05670200326605,1.03326435477848
CAGL0H01606g,2.90365765911095,2.04137361651793,0.86228404259302
CAGL0G03289g,4.66882349398151,3.55825972391664,1.11056377006487
CAGL0D04378g,1.60720564932377,+AC0-0.035815252458425,1.6430209017822
