genesymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0F08701g	0.24920361515585	2.68152041099354	1.40409803443647	0.261491025201299	0.343517794318212	-7.27819440067543
CAGL0M04411g	0.32141149123825	1.9794999555323	1.40257343149857	0.261895848118479	0.343968842775326	-7.27989580508546
CAGL0I08261g	-0.0709831989542993	6.33511209240272	-1.40117215378912	0.262268533410226	0.344301473636211	-7.28145930393651
CAGL0J10340g	-0.127708964759254	6.20559957793647	-1.40115843110621	0.262272185994197	0.344301473636211	-7.28147461392097
CAGL0M03531g	0.060304468169619	9.24470843896087	1.40056073706923	0.262431329304997	0.344393235432455	-7.28214141813066
CAGL0H06237g	-0.224350130973571	3.07698501827015	-1.40013435330147	0.262544924109133	0.344393235432455	-7.28261707383205
CAGL0H05423g	-0.351967141016895	4.55169785444765	-1.40000542171251	0.262579284001504	0.344393235432455	-7.28276089953726
CAGL0D06380g	1.05929668436652	-0.991215025027507	1.39997159069266	0.262588300688982	0.344393235432455	-7.28279863832156
CAGL0K05467g	0.174273064039844	7.04073658840688	1.39883389892443	0.262891718195142	0.344710373400941	-7.28406765104093
CAGL0M13211g	-0.0455971013671244	7.20087004558624	-1.39543515761866	0.2638004466185	0.345820876014645	-7.287857629875
CAGL0D04840g	-0.730305327879994	1.24669135975113	-1.39209168115033	0.264697768415808	0.34691590871081	-7.29158439775774
CAGL0C00231g	-0.613881713738462	0.136897750628274	-1.39101111887237	0.264988486011058	0.347215592325965	-7.29278849417668
CAGL0M06545g	0.0874003146106732	5.59836591267224	1.39064371063063	0.265087414439072	0.347263892246923	-7.29319786786881
CAGL0M01958g	0.106785508403905	6.29466935053035	1.39037367541068	0.26516015003677	0.347277865041134	-7.29349873420904
CAGL0M05731g	-0.0609955322035649	5.98511891463656	-1.38906171624355	0.265513845980999	0.347659716420242	-7.29496033608851
CAGL0A04741g	-0.046894927335984	8.50844805234414	-1.38759166050089	0.26591077900012	0.348097989823508	-7.29659777120828
CAGL0K12936g	0.125968867781329	6.4867909647107	1.38733456838113	0.265980263879616	0.348107503252971	-7.29688410335916
CAGL0I01804g	0.0956287903265247	7.10794088424755	1.38683409765386	0.26611558438986	0.348203155907686	-7.29744146681341
CAGL0H04697g	-0.160920102687926	7.86608472545785	-1.38185657195	0.267465556642253	0.349877764057005	-7.30298282461931
CAGL0K06721g	-0.148539903245805	5.25308694375483	-1.38165465278073	0.26752047804037	0.349877764057005	-7.30320753874609
CAGL0J03806g	0.433554355955529	7.05479690003314	1.37896265915359	0.268253873487266	0.350754947922704	-7.30620285121736
CAGL0G02497g	0.116212554396136	7.07606882088187	1.37766975047397	0.268606890473334	0.351134474812688	-7.30764104884024
CAGL0H10450g	-1.09017995272298	-1.70496514836415	-1.37356243108691	0.269731733854017	0.35252255335511	-7.31220822948903
CAGL0I06050g	-0.13937093692175	13.3467054902371	-1.36972041168639	0.270788585418347	0.353821143254472	-7.31647804401862
CAGL0H01617g	0.252304342320834	4.68001299901237	1.3691356173905	0.270949845371652	0.353949190953629	-7.31712775036239
CAGL0L12188g	0.0813840517096409	6.82603908666661	1.36862410067805	0.271090984677323	0.354050900856587	-7.31769600110951
CAGL0C01463g	0.0761027096485654	5.25074309755505	1.36397941467092	0.272376241205644	0.355580949522569	-7.3228539412632
CAGL0K02101g	0.0967066449811593	5.34476955390623	1.36393117540473	0.27238962460299	0.355580949522569	-7.32290749301328
CAGL0B02717g	-0.0993519866310546	10.1759855255319	-1.3617664679329	0.272990935325762	0.356282781233413	-7.32531020775252
CAGL0A01452g	-0.197253593227964	6.00128158236351	-1.3604440414576	0.273358990091353	0.356679932267052	-7.32677765905321
CAGL0C04433g	0.136584893593516	7.41943996138997	1.36018098390394	0.273432268168483	0.356692361949793	-7.32706953094759
CAGL0M10890g	-0.273667348018639	6.20878473058866	-1.3593446232499	0.273665389513788	0.356913252757493	-7.32799742810133
CAGL0F01089g	-0.088813424599314	6.69085801145475	-1.35478923573981	0.274938934168723	0.358490640101143	-7.33304935800711
CAGL0M01760g	0.948856956415682	9.63336231917079	1.35432438898122	0.275069253315907	0.35857699727458	-7.33356467941487
CAGL0M07634g	0.395173995691117	1.27703577115836	1.35331789628114	0.275351652605246	0.358861517895726	-7.33468033630396
CAGL0H07491g	-0.372030293261519	5.93755577717103	-1.3498097564538	0.276338426552839	0.359994720891627	-7.33856763142145
CAGL0E00561g	0.0391161524372903	7.18692993117904	1.34976927768188	0.276349834893573	0.359994720891627	-7.33861247288255
CAGL0I07425g	2.38432173031449	0.109148445969086	1.34831947069124	0.276758779251074	0.360443521859814	-7.34021835121773
CAGL0F04565g	0.119103628896346	8.83664338247685	1.34804619978558	0.276835933922055	0.360460100138212	-7.34052099929468
CAGL0I02464g	-0.285163579129764	5.26510922300423	-1.34680933505734	0.277185439880012	0.360831208964324	-7.341890668694
CAGL0A02728g	0.416640091407523	6.2286735145456	1.34609592309434	0.277387249636468	0.361009923637134	-7.34268056103218
CAGL0A00957g	0.168402105300709	6.24356661796868	1.34574331841619	0.277487053276751	0.361023412844293	-7.34307093367514
CAGL0G07062g	0.28354545328204	4.49682915008674	1.34560340398314	0.277526666424183	0.361023412844293	-7.34322582855614
CAGL0F03179g	-0.10045467406372	7.18346700520697	-1.34517138118133	0.277649021258867	0.36103650095382	-7.34370408599546
CAGL0H04477g	0.208633030603164	5.93205346167798	1.34511220836795	0.277665784379676	0.36103650095382	-7.34376958889669
CAGL0J11242g	-0.20035680449135	5.22646945553381	-1.3428073851509	0.278319575704232	0.361802515349716	-7.34632049827636
CAGL0K03443g	0.255484476223723	6.61432973198109	1.34178015123098	0.278611501392974	0.36209787463268	-7.34745711015106
CAGL0C00781g	0.628874306845318	-0.605960568337985	1.3403016093416	0.279032266025598	0.362560503579475	-7.34909275776781
CAGL0F02365g	0.096699255219896	4.44920199409571	1.33931022945517	0.279314779747008	0.362843323121548	-7.35018926202761
CAGL0K11044g	0.136831233979733	7.81494512281471	1.33880081639932	0.279460067930729	0.362947790174658	-7.35075262446893
CAGL0H09218g	-0.136940883167241	6.76791218153137	-1.33709110086469	0.279948290144163	0.363497489755533	-7.35264306864999
CAGL0M13805g	-0.103323317282456	8.65633530514166	-1.3367593329101	0.280043136069701	0.363499854423898	-7.35300984607645
