genes	del4.20min	del4.30min	average.d4	wt.20min	wt.30min	average.wt	minus
CAGL0C01397g	2.87723327432891	3.71693177475381	3.29708252454136	2.41842494949944	3.7900413766505	3.10423316307497	0.19284936146639
CAGL0K10868g	2.69697517701945	3.69452665909411	3.19575091805678	2.43001619057943	3.51932451884157	2.9746703547105	0.221080563346281
CAGL0G02937g	1.3043764407295	3.1470514949875	2.2257139678585	0.770207635701067	3.30836561622898	2.03928662596502	0.186427341893476
CAGL0F04631g	4.13150602222591	7.22504117863583	5.67827360043087	3.72162565893396	6.96676592841948	5.34419579367672	0.33407780675415
CAGL0D03982g	1.49127753721908	2.41960943200296	1.95544348461102	1.4140499220047	2.39624049473304	1.90514520836887	0.0502982762421489
CAGL0C02365g	2.43888195089314	3.27758528561605	2.85823361825459	2.06888348859121	3.48986123505281	2.77937236182201	0.0788612564325826
CAGL0K03575g	2.06758520255315	2.73829580048924	2.40294050152119	1.71589089909168	2.69529343329502	2.20559216619335	0.197348335327841
CAGL0A01716g	1.59422941807156	2.93862318987788	2.26642630397472	1.84839087909757	2.5089544585685	2.17867266883303	0.0877536351416879
CAGL0I05874g	1.75176792591449	2.93660151832672	2.34418472212061	1.43105271377067	2.96209425406323	2.19657348391695	0.147611238203657
CAGL0M09020g	1.21030298739505	2.79276936136709	2.00153617438107	0.709641646057276	3.16409555289387	1.93686859947557	0.0646675749054986
CAGL0L11902g	2.77041156633984	3.82108927493809	3.29575042063897	2.35181656949706	3.68583769518886	3.01882713234296	0.276923288296008
CAGL0D06512g	2.08336411354498	3.11033126082691	2.59684768718594	1.5981355910877	2.99301548688883	2.29557553898826	0.301272148197681
CAGL0K07634g	1.77965718519376	2.29724087629053	2.03844903074215	1.53211262074299	2.37290321608867	1.95250791841583	0.085941112326315
CAGL0K05687g	4.14068513371837	6.55176684106928	5.34622598739382	3.17327595212316	6.65666423750926	4.91497009481621	0.43125589257761
